instrument,first_price_day,last,calendar_days_from_first,price_days,missing_price_days_vs_calendar,missing_days_list,price_on_closed_days,closed_day_list,mapping_days,mapping_days_without_price,duplicate_price_days
AL,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
AP,2017-12-22,2026-08-31,10540,2108,0,,0,,2108,0,0
C,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
CF,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
FG,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
JD,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
LH,2021-01-08,2026-08-31,6840,1368,0,,0,,1368,0,0
M,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
MA,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
P,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
RB,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
RU,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
SC,2018-03-26,2026-08-31,10240,2048,0,,0,,2048,0,0
SP,2018-11-27,2026-08-31,9415,1883,0,,0,,1883,0,0
SR,2014-01-02,2026-08-31,13590,3079,0,,0,,3079,0,0
T,2015-03-20,2026-08-31,13394,2785,0,,0,,2785,0,0
UR,2019-08-09,2026-08-31,8560,1712,0,,0,,1712,0,0
