instrument,last_effective_from,fee_per_lot,fee_rate(万分数),source_type,is_proxy,n_exact_open_rules
AL,2026-08-31,3.0,0.0,tushare_historical,False,68
AP,2026-04-13,5.0,0.0,tushare_historical,False,29
C,2026-08-17,1.2,0.0,tushare_historical,False,48
CF,2026-08-14,4.3,0.0,tushare_historical,False,42
FG,2026-08-19,2.0,0.0,tushare_historical,False,43
JD,2026-08-10,1.5,0.0,tushare_historical,False,62
LH,2026-08-06,1.0,0.0,tushare_historical,False,28
M,2026-08-11,1.5,0.0,tushare_historical,False,38
MA,2026-08-14,1.0,0.0,tushare_historical,False,42
P,2026-08-12,2.5,0.0,tushare_historical,False,40
RB,2026-04-08,0.0,0.1,tushare_historical,False,19
RU,2026-08-31,3.0,0.0,tushare_historical,False,18
SC,2026-08-31,20.0,0.0,tushare_historical,False,70
SP,2026-08-31,0.0,0.02,tushare_historical,False,27
SR,2026-08-14,2.0,0.0,tushare_historical,False,42
T,2026-08-24,3.0,0.0,tushare_historical,False,46
UR,2026-08-19,1.0,0.0,tushare_historical,False,27
