date,contract,source,instrument,ts_code,high,low,open,close,volume,oi
2021-10-08,CF2201.ZCE,tushare_fut_mapping,CF,CF2201.ZCE,21255.0,21255.0,21255.0,21255.0,34107.0,398110.0
2020-02-03,JD2005.DCE,tushare_fut_mapping,JD,JD2005.DCE,3203.0,3203.0,3203.0,3203.0,33506.0,203467.0
2020-03-09,MA2005.ZCE,tushare_fut_mapping,MA,MA2005.ZCE,1918.0,1918.0,1918.0,1918.0,36122.0,819696.0
2020-02-03,P2005.DCE,tushare_fut_mapping,P,P2005.DCE,5676.0,5676.0,5676.0,5676.0,122242.0,382737.0
2020-02-03,RU2005.SHF,tushare_fut_mapping,RU,RU2005.SHF,11145.0,11145.0,11145.0,11145.0,20732.0,187187.0
2025-04-07,RU2509.SHF,tushare_fut_mapping,RU,RU2509.SHF,15580.0,15580.0,15580.0,15580.0,11284.0,131346.0
2020-02-03,SC2003.INE,tushare_fut_mapping,SC,SC2003.INE,415.5,415.5,415.5,415.5,771.0,11922.0
2020-03-09,SC2005.INE,tushare_fut_mapping,SC,SC2005.INE,338.1,338.1,338.1,338.1,302.0,41059.0
2020-03-10,SC2005.INE,tushare_fut_mapping,SC,SC2005.INE,307.6,307.6,307.6,307.6,1371.0,40535.0
2024-10-08,SC2411.INE,tushare_fut_mapping,SC,SC2411.INE,580.1,580.1,580.1,580.1,2339.0,19879.0
2025-04-07,SC2505.INE,tushare_fut_mapping,SC,SC2505.INE,510.1,510.1,510.1,510.1,772.0,22614.0
2021-10-20,UR2201.ZCE,tushare_fut_mapping,UR,UR2201.ZCE,2978.0,2978.0,2978.0,2978.0,10094.0,67661.0
