ts_code,date,open,high,low,close,settlement,volume,oi,point_value
AL2005.SHF,20190620,13810.0,13850.0,13810.0,13850.0,13835.0,6.0,152.0,5.0
JD1909.DCE,20181203,4060.0,4095.0,4023.0,4027.0,4048.0,2538.0,12008.0,5.0
JD2606.DCE,20260129,3340.0,3348.0,3312.0,3318.0,3330.0,10921.0,75615.0,5.0
AL1808.SHF,20171030,16725.0,16810.0,16725.0,16750.0,16770.0,56.0,618.0,5.0
AL2308.SHF,20220816,17985.0,17985.0,17930.0,17930.0,17970.0,5.0,5.0,5.0
AL1605.SHF,20150520,,,,13735.0,13735.0,0.0,0.0,5.0
LH2301.DCE,20230110,14095.0,14190.0,13700.0,14190.0,13920.0,4.0,0.0,16.0
C2201.DCE,20211124,2633.0,2648.0,2617.0,2637.0,2635.0,472476.0,646807.0,10.0
AL1703.SHF,20161122,13670.0,13875.0,13650.0,13795.0,13770.0,33750.0,99248.0,5.0
JD2005.DCE,20190613,3693.0,3709.0,3689.0,3705.0,3697.0,928.0,4814.0,5.0
C2505.DCE,20240827,2335.0,2349.0,2334.0,2345.0,2341.0,16920.0,49284.0,10.0
MA2409.ZCE,20230919,2520.0,2533.0,2511.0,2512.0,2522.0,155.0,436.0,10.0
RB2105.SHF,20200601,3293.0,3307.0,3275.0,3291.0,3292.0,29404.0,65363.0,10.0
AL2302.SHF,20230109,17825.0,18075.0,17775.0,17950.0,17915.0,194992.0,164277.0,5.0
RB2501.SHF,20240529,3780.0,3809.0,3771.0,3804.0,3787.0,31860.0,167110.0,10.0
AL2207.SHF,20220414,21185.0,21575.0,21185.0,21500.0,21415.0,21404.0,61451.0,5.0
P2609.DCE,20251209,8528.0,8552.0,8420.0,8472.0,8478.0,5249.0,25935.0,10.0
AP1810.ZCE,20180313,6187.0,6395.0,6179.0,6358.0,6322.0,158094.0,27462.0,10.0
AL2112.SHF,20210315,16665.0,17030.0,16665.0,16970.0,16955.0,52.0,1235.0,5.0
CF2105.ZCE,20210210,15650.0,15780.0,15515.0,15715.0,15685.0,273177.0,524061.0,5.0
SC2306.INE,20200826,428.0,428.0,428.0,428.0,428.0,1.0,16.0,1000.0
AL1707.SHF,20170627,13800.0,13855.0,13665.0,13855.0,13745.0,17138.0,73702.0,5.0
JD2007.DCE,20190911,3795.0,3796.0,3782.0,3792.0,3788.0,48.0,1232.0,5.0
P2105.DCE,20210208,6584.0,6694.0,6580.0,6678.0,6638.0,483151.0,351988.0,10.0
P2605.DCE,20251204,8770.0,8784.0,8652.0,8696.0,8710.0,141962.0,257223.0,10.0
SC2203.INE,20210401,405.9,411.3,405.9,411.3,408.6,2.0,100.0,1000.0
P2001.DCE,20190722,4388.0,4406.0,4382.0,4400.0,4396.0,106740.0,267958.0,10.0
AL1803.SHF,20180212,14150.0,14470.0,14010.0,14320.0,14175.0,274744.0,191618.0,5.0
MA2605.ZCE,20260519,3000.0,3089.0,2810.0,2850.0,2981.0,237.0,0.0,10.0
AL1503.SHF,20141204,13425.0,13555.0,13390.0,13530.0,13495.0,18356.0,90294.0,5.0
JD2405.DCE,20231031,4052.0,4069.0,4031.0,4035.0,4049.0,1442.0,6769.0,5.0
CF1905.ZCE,20180815,17680.0,17810.0,17455.0,17480.0,17650.0,112340.0,240032.0,5.0
C2401.DCE,20231101,2539.0,2552.0,2530.0,2542.0,2541.0,346188.0,776917.0,10.0
SR2205.ZCE,20210715,5707.0,5728.0,5684.0,5720.0,5704.0,527.0,4068.0,10.0
RB1805.SHF,20171213,3884.0,3892.0,3816.0,3831.0,3848.0,5618008.0,2781522.0,10.0
SR1501.ZCE,20140806,4680.0,4698.0,4665.0,4685.0,4682.0,382532.0,666528.0,10.0
AL1810.SHF,20171122,15735.0,15795.0,15685.0,15780.0,15760.0,30.0,280.0,5.0
AL2206.SHF,20210813,19710.0,19800.0,19710.0,19800.0,19755.0,2.0,162.0,5.0
AL2202.SHF,20211216,18850.0,19300.0,18850.0,19230.0,19100.0,163831.0,165569.0,5.0
P2305.DCE,20230320,7778.0,7832.0,7600.0,7606.0,7720.0,767751.0,439620.0,10.0
