instrument,fut_basic_contracts,delisted_before_20260901,contracts_in_bars,delisted_in_bars,earliest_list_date
AL,388,376,150,148,1995-04-17
AP,64,57,26,25,2017-12-22
C,136,130,48,46,2004-09-22
CF,149,143,38,36,2004-06-01
FG,174,162,39,37,2012-12-03
JD,156,144,61,59,2013-11-08
LH,36,30,27,25,2021-01-08
M,206,198,39,37,2000-07-17
MA,147,135,36,34,2014-06-17
P,236,224,40,38,2007-10-29
RB,216,204,38,37,2009-03-27
RU,326,316,39,37,1995-05-16
SC,117,97,95,94,2018-03-26
SP,99,87,34,32,2018-11-27
SR,128,122,41,39,2006-01-06
T,47,44,46,44,2015-03-20
UR,92,80,23,21,2019-08-09
