rule_id,contract,instrument,exchange,effective_from,effective_to,trade_type,fee_per_lot,fee_rate,fee_rate_unit,source_type,source_url,announcement_date,is_proxy,notes
FEE-002069,*,AL,SHFE,1900-01-01,2099-12-31,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,,True,合约/日期缺失时采用该品种最新Tushare标准，明确标记代理。
FEE-002070,*,AL,SHFE,1900-01-01,2099-12-31,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,,True,合约/日期缺失时采用该品种最新Tushare标准，明确标记代理。
FEE-002068,*,AL,SHFE,1900-01-01,2099-12-31,open,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,,True,合约/日期缺失时采用该品种最新Tushare标准，明确标记代理。
FEE-000002,AL2102.SHF,AL,SHFE,2021-01-04,2021-01-15,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000003,AL2102.SHF,AL,SHFE,2021-01-04,2021-01-15,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000001,AL2102.SHF,AL,SHFE,2021-01-04,2021-01-15,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000005,AL2103.SHF,AL,SHFE,2021-01-18,2021-02-19,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000006,AL2103.SHF,AL,SHFE,2021-01-18,2021-02-19,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000004,AL2103.SHF,AL,SHFE,2021-01-18,2021-02-19,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000008,AL2104.SHF,AL,SHFE,2021-02-22,2021-03-15,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000009,AL2104.SHF,AL,SHFE,2021-02-22,2021-03-15,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000007,AL2104.SHF,AL,SHFE,2021-02-22,2021-03-15,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000011,AL2105.SHF,AL,SHFE,2021-03-16,2021-04-21,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000012,AL2105.SHF,AL,SHFE,2021-03-16,2021-04-21,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000010,AL2105.SHF,AL,SHFE,2021-03-16,2021-04-21,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000014,AL2106.SHF,AL,SHFE,2021-04-22,2021-05-20,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000015,AL2106.SHF,AL,SHFE,2021-04-22,2021-05-20,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000013,AL2106.SHF,AL,SHFE,2021-04-22,2021-05-20,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000017,AL2107.SHF,AL,SHFE,2021-05-21,2021-06-23,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000018,AL2107.SHF,AL,SHFE,2021-05-21,2021-06-23,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000016,AL2107.SHF,AL,SHFE,2021-05-21,2021-06-23,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000020,AL2108.SHF,AL,SHFE,2021-06-24,2021-07-21,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000021,AL2108.SHF,AL,SHFE,2021-06-24,2021-07-21,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000019,AL2108.SHF,AL,SHFE,2021-06-24,2021-07-21,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000023,AL2109.SHF,AL,SHFE,2021-07-22,2021-08-20,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000024,AL2109.SHF,AL,SHFE,2021-07-22,2021-08-20,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000022,AL2109.SHF,AL,SHFE,2021-07-22,2021-08-20,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000026,AL2110.SHF,AL,SHFE,2021-08-23,2021-09-22,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000027,AL2110.SHF,AL,SHFE,2021-08-23,2021-09-22,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000025,AL2110.SHF,AL,SHFE,2021-08-23,2021-09-22,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000029,AL2111.SHF,AL,SHFE,2021-09-23,2021-10-20,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000030,AL2111.SHF,AL,SHFE,2021-09-23,2021-10-20,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000028,AL2111.SHF,AL,SHFE,2021-09-23,2021-10-20,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000032,AL2112.SHF,AL,SHFE,2021-10-21,2021-11-15,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000033,AL2112.SHF,AL,SHFE,2021-10-21,2021-11-15,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000031,AL2112.SHF,AL,SHFE,2021-10-21,2021-11-15,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
