date,instrument,quantity,price,point_value,fee_rate,exchange_commission,commission,fee_rate_corrected,exchange_commission_corrected,commission_corrected
2015-01-12,AL,-106,12835.0,5.0,0.0,318.0,477.0,0.0,318.0,477.0
2015-01-12,CF,33,13140.0,5.0,0.0,141.9,212.85000000000002,0.0,141.9,212.85000000000002
2015-01-12,FG,111,948.0,20.0,0.0,333.0,499.5,0.0,333.0,499.5
2015-01-12,JD,-98,4278.0,5.0,0.0,147.0,220.5,0.0,147.0,220.5
2015-01-12,MA,-54,2007.0,10.0,0.0,75.6,113.39999999999999,0.0,75.6,113.39999999999999
2015-01-12,RB,135,2558.0,10.0,1e-05,34.533,51.7995,0.0001,345.33000000000004,517.9950000000001
2015-01-19,AL,-78,12835.0,5.0,0.0,234.0,351.0,0.0,234.0,351.0
2015-01-19,C,311,2411.0,10.0,0.0,373.2,559.8,0.0,373.2,559.8
2015-01-19,CF,-33,13095.0,5.0,0.0,141.9,212.85000000000002,0.0,141.9,212.85000000000002
2015-01-19,FG,-111,911.0,20.0,0.0,333.0,499.5,0.0,333.0,499.5
2015-01-19,MA,-108,1984.0,10.0,0.0,151.2,226.79999999999998,0.0,151.2,226.79999999999998
2015-01-19,RB,-135,2498.0,10.0,1e-05,33.723000000000006,50.584500000000006,0.0001,337.23,505.845
2015-01-19,RB,-276,2498.0,10.0,1e-05,68.9448,103.41720000000001,0.0001,689.4480000000001,1034.172
2015-01-19,RU,8,12610.0,10.0,0.0,24.0,36.0,0.0,24.0,36.0
2015-01-26,AL,-5,12785.0,5.0,0.0,15.0,22.5,0.0,15.0,22.5
2015-01-26,C,1,2417.0,10.0,0.0,1.2,1.7999999999999998,0.0,1.2,1.7999999999999998
2015-01-26,CF,-35,12995.0,5.0,0.0,150.5,225.75,0.0,150.5,225.75
2015-01-26,FG,104,907.0,20.0,0.0,312.0,468.0,0.0,312.0,468.0
2015-01-26,MA,-1,2044.0,10.0,0.0,1.4,2.0999999999999996,0.0,1.4,2.0999999999999996
2015-01-26,RB,-6,2481.0,10.0,1e-05,1.4886000000000001,2.2329000000000003,0.0001,14.886000000000003,22.329000000000004
2015-01-26,RU,-8,13210.0,10.0,0.0,24.0,36.0,0.0,24.0,36.0
2015-01-26,SR,40,5028.0,10.0,0.0,120.0,180.0,0.0,120.0,180.0
2015-01-28,AL,106,12810.0,5.0,0.0,318.0,477.0,0.0,318.0,477.0
2015-01-28,AL,78,12810.0,5.0,0.0,234.0,351.0,0.0,234.0,351.0
2015-01-28,AL,5,12810.0,5.0,0.0,15.0,22.5,0.0,15.0,22.5
2015-01-28,AL,-210,12845.0,5.0,0.0,630.0,945.0,0.0,630.0,945.0
2015-01-28,C,-311,2418.0,10.0,0.0,373.2,559.8,0.0,373.2,559.8
2015-01-28,C,-1,2418.0,10.0,0.0,1.2,1.7999999999999998,0.0,1.2,1.7999999999999998
2015-01-28,C,312,2478.0,10.0,0.0,374.4,561.5999999999999,0.0,374.4,561.5999999999999
2015-01-29,AL,3,12875.0,5.0,0.0,9.0,13.5,0.0,9.0,13.5
2015-01-29,C,-4,2467.0,10.0,0.0,4.8,7.199999999999999,0.0,4.8,7.199999999999999
2015-01-29,CF,1,13130.0,5.0,0.0,4.3,6.449999999999999,0.0,4.3,6.449999999999999
2015-01-29,FG,-2,901.0,20.0,0.0,6.0,9.0,0.0,6.0,9.0
2015-01-29,JD,1,4185.0,5.0,0.0,1.5,2.25,0.0,1.5,2.25
2015-01-29,MA,2,2082.0,10.0,0.0,2.8,4.199999999999999,0.0,2.8,4.199999999999999
2015-01-29,RB,3,2473.0,10.0,1e-05,0.7419,1.11285,0.0001,7.4190000000000005,11.1285
2015-01-29,SR,-1,4986.0,10.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-01-30,AL,2,12825.0,5.0,0.0,6.0,9.0,0.0,6.0,9.0
2015-01-30,C,-2,2471.0,10.0,0.0,2.4,3.5999999999999996,0.0,2.4,3.5999999999999996
2015-01-30,CF,1,13210.0,5.0,0.0,4.3,6.449999999999999,0.0,4.3,6.449999999999999
2015-01-30,FG,-1,913.0,20.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-01-30,JD,1,4115.0,5.0,0.0,1.5,2.25,0.0,1.5,2.25
2015-01-30,MA,1,2067.0,10.0,0.0,1.4,2.0999999999999996,0.0,1.4,2.0999999999999996
2015-01-30,RB,2,2515.0,10.0,1e-05,0.503,0.7545,0.0001,5.03,7.545
2015-01-30,SR,-1,4966.0,10.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-02-02,CF,33,13085.0,5.0,0.0,141.9,212.85000000000002,0.0,141.9,212.85000000000002
2015-02-02,FG,-101,910.0,20.0,0.0,303.0,454.5,0.0,303.0,454.5
2015-02-02,P,-44,4676.0,10.0,0.0,110.0,165.0,0.0,110.0,165.0
2015-02-02,RB,-2,2502.0,10.0,1e-05,0.5004000000000001,0.7506000000000002,0.0001,5.0040000000000004,7.506
2015-02-02,RU,6,12945.0,10.0,0.0,18.0,27.0,0.0,18.0,27.0
2015-02-05,AL,4,13205.0,5.0,0.0,12.0,18.0,0.0,12.0,18.0
2015-02-05,C,-6,2491.0,10.0,0.0,7.199999999999999,10.799999999999999,0.0,7.199999999999999,10.799999999999999
2015-02-05,JD,2,4142.0,5.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-02-05,MA,3,2135.0,10.0,0.0,4.199999999999999,6.299999999999999,0.0,4.199999999999999,6.299999999999999
2015-02-05,P,1,4782.0,10.0,0.0,2.5,3.75,0.0,2.5,3.75
2015-02-05,RB,6,2481.0,10.0,1e-05,1.4886000000000001,2.2329000000000003,0.0001,14.886000000000003,22.329000000000004
2015-02-05,RU,-1,13555.0,10.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-02-05,SR,-1,5020.0,10.0,0.0,3.0,4.5,0.0,3.0,4.5
2015-02-09,AL,47,13355.0,5.0,0.0,141.0,211.5,0.0,141.0,211.5
2015-02-09,C,87,2506.0,10.0,0.0,104.39999999999999,156.6,0.0,104.39999999999999,156.6
2015-02-09,CF,-26,13190.0,5.0,0.0,111.8,167.7,0.0,111.8,167.7
2015-02-09,FG,-164,919.0,20.0,0.0,492.0,738.0,0.0,492.0,738.0
2015-02-09,JD,94,4226.0,5.0,0.0,141.0,211.5,0.0,141.0,211.5
2015-02-09,MA,48,2159.0,10.0,0.0,67.19999999999999,100.79999999999998,0.0,67.19999999999999,100.79999999999998
2015-02-09,MA,4,2159.0,10.0,0.0,5.6,8.399999999999999,0.0,5.6,8.399999999999999
2015-02-09,P,5,4934.0,10.0,0.0,12.5,18.75,0.0,12.5,18.75
