date,instrument,score
2014-01-02,AL,
2014-01-02,AP,
2014-01-02,C,
2014-01-02,CF,
2014-01-02,FG,
2014-01-02,JD,
2014-01-02,LH,
2014-01-02,M,
2014-01-02,MA,
2014-01-02,P,
2014-01-02,RB,
2014-01-02,RU,
2014-01-02,SC,
2014-01-02,SP,
2014-01-02,SR,
2014-01-02,T,
2014-01-02,UR,
2014-01-03,AL,
2014-01-03,AP,
2014-01-03,C,
2014-01-03,CF,
2014-01-03,FG,
2014-01-03,JD,
2014-01-03,LH,
2014-01-03,M,
2014-01-03,MA,
2014-01-03,P,
2014-01-03,RB,
2014-01-03,RU,
2014-01-03,SC,
2014-01-03,SP,
2014-01-03,SR,
2014-01-03,T,
2014-01-03,UR,
2014-01-06,AL,
2014-01-06,AP,
2014-01-06,C,
2014-01-06,CF,
2014-01-06,FG,
2014-01-06,JD,
2014-01-06,LH,
2014-01-06,M,
2014-01-06,MA,
2014-01-06,P,
2014-01-06,RB,
2014-01-06,RU,
2014-01-06,SC,
2014-01-06,SP,
2014-01-06,SR,
2014-01-06,T,
2014-01-06,UR,
2014-01-07,AL,
2014-01-07,AP,
2014-01-07,C,
2014-01-07,CF,
2014-01-07,FG,
2014-01-07,JD,
2014-01-07,LH,
2014-01-07,M,
2014-01-07,MA,
2014-01-07,P,
2014-01-07,RB,
2014-01-07,RU,
2014-01-07,SC,
2014-01-07,SP,
2014-01-07,SR,
2014-01-07,T,
2014-01-07,UR,
2014-01-08,AL,
2014-01-08,AP,
2014-01-08,C,
2014-01-08,CF,
2014-01-08,FG,
2014-01-08,JD,
2014-01-08,LH,
2014-01-08,M,
2014-01-08,MA,
2014-01-08,P,
2014-01-08,RB,
2014-01-08,RU,
2014-01-08,SC,
2014-01-08,SP,
2014-01-08,SR,
2014-01-08,T,
2014-01-08,UR,
2014-01-09,AL,
2014-01-09,AP,
2014-01-09,C,
2014-01-09,CF,
2014-01-09,FG,
2014-01-09,JD,
2014-01-09,LH,
2014-01-09,M,
2014-01-09,MA,
2014-01-09,P,
2014-01-09,RB,
2014-01-09,RU,
2014-01-09,SC,
2014-01-09,SP,
2014-01-09,SR,
2014-01-09,T,
2014-01-09,UR,
2014-01-10,AL,
2014-01-10,AP,
2014-01-10,C,
2014-01-10,CF,
2014-01-10,FG,
2014-01-10,JD,
2014-01-10,LH,
2014-01-10,M,
2014-01-10,MA,
2014-01-10,P,
2014-01-10,RB,
2014-01-10,RU,
2014-01-10,SC,
2014-01-10,SP,
2014-01-10,SR,
2014-01-10,T,
2014-01-10,UR,
2014-01-13,AL,
2014-01-13,AP,
2014-01-13,C,
2014-01-13,CF,
2014-01-13,FG,
2014-01-13,JD,
2014-01-13,LH,
2014-01-13,M,
2014-01-13,MA,
2014-01-13,P,
2014-01-13,RB,
2014-01-13,RU,
2014-01-13,SC,
2014-01-13,SP,
2014-01-13,SR,
2014-01-13,T,
2014-01-13,UR,
2014-01-14,AL,
2014-01-14,AP,
2014-01-14,C,
2014-01-14,CF,
2014-01-14,FG,
2014-01-14,JD,
2014-01-14,LH,
2014-01-14,M,
2014-01-14,MA,
2014-01-14,P,
2014-01-14,RB,
2014-01-14,RU,
2014-01-14,SC,
2014-01-14,SP,
2014-01-14,SR,
2014-01-14,T,
2014-01-14,UR,
2014-01-15,AL,
2014-01-15,AP,
2014-01-15,C,
2014-01-15,CF,
2014-01-15,FG,
2014-01-15,JD,
2014-01-15,LH,
2014-01-15,M,
2014-01-15,MA,
2014-01-15,P,
2014-01-15,RB,
2014-01-15,RU,
2014-01-15,SC,
2014-01-15,SP,
2014-01-15,SR,
2014-01-15,T,
2014-01-15,UR,
2014-01-16,AL,
2014-01-16,AP,
2014-01-16,C,
2014-01-16,CF,
2014-01-16,FG,
2014-01-16,JD,
2014-01-16,LH,
2014-01-16,M,
2014-01-16,MA,
2014-01-16,P,
2014-01-16,RB,
2014-01-16,RU,
2014-01-16,SC,
2014-01-16,SP,
2014-01-16,SR,
2014-01-16,T,
2014-01-16,UR,
2014-01-17,AL,
2014-01-17,AP,
2014-01-17,C,
2014-01-17,CF,
2014-01-17,FG,
2014-01-17,JD,
2014-01-17,LH,
2014-01-17,M,
2014-01-17,MA,
2014-01-17,P,
2014-01-17,RB,
2014-01-17,RU,
2014-01-17,SC,
2014-01-17,SP,
2014-01-17,SR,
2014-01-17,T,
2014-01-17,UR,
2014-01-20,AL,
2014-01-20,AP,
2014-01-20,C,
2014-01-20,CF,
2014-01-20,FG,
2014-01-20,JD,
2014-01-20,LH,
2014-01-20,M,
2014-01-20,MA,
2014-01-20,P,
2014-01-20,RB,
2014-01-20,RU,
2014-01-20,SC,
2014-01-20,SP,
2014-01-20,SR,
2014-01-20,T,
2014-01-20,UR,
2014-01-21,AL,
2014-01-21,AP,
2014-01-21,C,
2014-01-21,CF,
2014-01-21,FG,
2014-01-21,JD,
2014-01-21,LH,
2014-01-21,M,
2014-01-21,MA,
2014-01-21,P,
2014-01-21,RB,
2014-01-21,RU,
2014-01-21,SC,
2014-01-21,SP,
2014-01-21,SR,
2014-01-21,T,
2014-01-21,UR,
2014-01-22,AL,
2014-01-22,AP,
2014-01-22,C,
2014-01-22,CF,
2014-01-22,FG,
2014-01-22,JD,
2014-01-22,LH,
2014-01-22,M,
2014-01-22,MA,
2014-01-22,P,
2014-01-22,RB,
2014-01-22,RU,
2014-01-22,SC,
2014-01-22,SP,
2014-01-22,SR,
2014-01-22,T,
2014-01-22,UR,
2014-01-23,AL,
2014-01-23,AP,
2014-01-23,C,
2014-01-23,CF,
2014-01-23,FG,
2014-01-23,JD,
2014-01-23,LH,
2014-01-23,M,
2014-01-23,MA,
2014-01-23,P,
2014-01-23,RB,
2014-01-23,RU,
2014-01-23,SC,
2014-01-23,SP,
2014-01-23,SR,
2014-01-23,T,
2014-01-23,UR,
2014-01-24,AL,
2014-01-24,AP,
2014-01-24,C,
2014-01-24,CF,
2014-01-24,FG,
2014-01-24,JD,
2014-01-24,LH,
2014-01-24,M,
2014-01-24,MA,
2014-01-24,P,
2014-01-24,RB,
2014-01-24,RU,
2014-01-24,SC,
2014-01-24,SP,
2014-01-24,SR,
2014-01-24,T,
2014-01-24,UR,
2014-01-27,AL,
2014-01-27,AP,
2014-01-27,C,
2014-01-27,CF,
2014-01-27,FG,
2014-01-27,JD,
2014-01-27,LH,
2014-01-27,M,
2014-01-27,MA,
2014-01-27,P,
2014-01-27,RB,
2014-01-27,RU,
2014-01-27,SC,
2014-01-27,SP,
2014-01-27,SR,
2014-01-27,T,
2014-01-27,UR,
2014-01-28,AL,
2014-01-28,AP,
2014-01-28,C,
2014-01-28,CF,
2014-01-28,FG,
2014-01-28,JD,
2014-01-28,LH,
2014-01-28,M,
2014-01-28,MA,
2014-01-28,P,
2014-01-28,RB,
2014-01-28,RU,
2014-01-28,SC,
2014-01-28,SP,
2014-01-28,SR,
2014-01-28,T,
2014-01-28,UR,
2014-01-29,AL,
2014-01-29,AP,
2014-01-29,C,
2014-01-29,CF,
2014-01-29,FG,
2014-01-29,JD,
2014-01-29,LH,
2014-01-29,M,
2014-01-29,MA,
2014-01-29,P,
2014-01-29,RB,
2014-01-29,RU,
2014-01-29,SC,
2014-01-29,SP,
2014-01-29,SR,
2014-01-29,T,
2014-01-29,UR,
2014-01-30,AL,
2014-01-30,AP,
2014-01-30,C,
2014-01-30,CF,
2014-01-30,FG,
2014-01-30,JD,
2014-01-30,LH,
2014-01-30,M,
2014-01-30,MA,
2014-01-30,P,
2014-01-30,RB,
2014-01-30,RU,
2014-01-30,SC,
2014-01-30,SP,
2014-01-30,SR,
2014-01-30,T,
2014-01-30,UR,
2014-02-07,AL,
2014-02-07,AP,
2014-02-07,C,
2014-02-07,CF,
2014-02-07,FG,
2014-02-07,JD,
2014-02-07,LH,
2014-02-07,M,
2014-02-07,MA,
2014-02-07,P,
2014-02-07,RB,
2014-02-07,RU,
2014-02-07,SC,
2014-02-07,SP,
2014-02-07,SR,
2014-02-07,T,
2014-02-07,UR,
2014-02-10,AL,
2014-02-10,AP,
2014-02-10,C,
2014-02-10,CF,
2014-02-10,FG,
2014-02-10,JD,
2014-02-10,LH,
2014-02-10,M,
2014-02-10,MA,
2014-02-10,P,
2014-02-10,RB,
2014-02-10,RU,
2014-02-10,SC,
2014-02-10,SP,
2014-02-10,SR,
2014-02-10,T,
2014-02-10,UR,
2014-02-11,AL,
2014-02-11,AP,
2014-02-11,C,
2014-02-11,CF,
2014-02-11,FG,
2014-02-11,JD,
2014-02-11,LH,
2014-02-11,M,
2014-02-11,MA,
2014-02-11,P,
2014-02-11,RB,
2014-02-11,RU,
2014-02-11,SC,
2014-02-11,SP,
2014-02-11,SR,
2014-02-11,T,
2014-02-11,UR,
2014-02-12,AL,
2014-02-12,AP,
2014-02-12,C,
2014-02-12,CF,
2014-02-12,FG,
2014-02-12,JD,
2014-02-12,LH,
2014-02-12,M,
2014-02-12,MA,
2014-02-12,P,
2014-02-12,RB,
2014-02-12,RU,
2014-02-12,SC,
2014-02-12,SP,
2014-02-12,SR,
2014-02-12,T,
2014-02-12,UR,
2014-02-13,AL,
2014-02-13,AP,
2014-02-13,C,
2014-02-13,CF,
2014-02-13,FG,
2014-02-13,JD,
2014-02-13,LH,
2014-02-13,M,
2014-02-13,MA,
2014-02-13,P,
2014-02-13,RB,
2014-02-13,RU,
2014-02-13,SC,
2014-02-13,SP,
2014-02-13,SR,
2014-02-13,T,
2014-02-13,UR,
2014-02-14,AL,
2014-02-14,AP,
2014-02-14,C,
2014-02-14,CF,
2014-02-14,FG,
2014-02-14,JD,
2014-02-14,LH,
2014-02-14,M,
2014-02-14,MA,
2014-02-14,P,
2014-02-14,RB,
2014-02-14,RU,
2014-02-14,SC,
2014-02-14,SP,
2014-02-14,SR,
2014-02-14,T,
2014-02-14,UR,
2014-02-17,AL,
2014-02-17,AP,
2014-02-17,C,
2014-02-17,CF,
2014-02-17,FG,
2014-02-17,JD,
2014-02-17,LH,
2014-02-17,M,
2014-02-17,MA,
2014-02-17,P,
2014-02-17,RB,
2014-02-17,RU,
2014-02-17,SC,
2014-02-17,SP,
2014-02-17,SR,
2014-02-17,T,
2014-02-17,UR,
2014-02-18,AL,
2014-02-18,AP,
2014-02-18,C,
2014-02-18,CF,
2014-02-18,FG,
2014-02-18,JD,
2014-02-18,LH,
2014-02-18,M,
2014-02-18,MA,
2014-02-18,P,
2014-02-18,RB,
2014-02-18,RU,
2014-02-18,SC,
2014-02-18,SP,
2014-02-18,SR,
2014-02-18,T,
2014-02-18,UR,
2014-02-19,AL,
2014-02-19,AP,
2014-02-19,C,
2014-02-19,CF,
2014-02-19,FG,
2014-02-19,JD,
2014-02-19,LH,
2014-02-19,M,
2014-02-19,MA,
2014-02-19,P,
2014-02-19,RB,
2014-02-19,RU,
2014-02-19,SC,
2014-02-19,SP,
2014-02-19,SR,
2014-02-19,T,
2014-02-19,UR,
2014-02-20,AL,
2014-02-20,AP,
2014-02-20,C,
2014-02-20,CF,
2014-02-20,FG,
2014-02-20,JD,
2014-02-20,LH,
2014-02-20,M,
2014-02-20,MA,
2014-02-20,P,
2014-02-20,RB,
2014-02-20,RU,
2014-02-20,SC,
2014-02-20,SP,
2014-02-20,SR,
2014-02-20,T,
2014-02-20,UR,
2014-02-21,AL,
2014-02-21,AP,
2014-02-21,C,
2014-02-21,CF,
2014-02-21,FG,
2014-02-21,JD,
2014-02-21,LH,
2014-02-21,M,
2014-02-21,MA,
2014-02-21,P,
2014-02-21,RB,
2014-02-21,RU,
2014-02-21,SC,
2014-02-21,SP,
2014-02-21,SR,
2014-02-21,T,
2014-02-21,UR,
2014-02-24,AL,
