signal_date,sector,instrument,direction,score,role
2015-01-16,agriculture,C,1,1.516776621997147,strongest
2015-01-16,agriculture,CF,-1,-1.5615325659337724,weakest
2015-01-16,base_metal,AL,-1,-1.0912603156012792,absolute
2015-01-16,chemical_energy,MA,-1,-1.846038868379682,weakest
2015-01-16,ferrous,RB,-1,-2.2918530933747694,absolute
2015-01-23,agriculture,C,1,1.6017964317922122,strongest
2015-01-23,agriculture,CF,-1,-1.6474310970279629,weakest
2015-01-23,base_metal,AL,-1,-0.9883574417349624,absolute
2015-01-23,chemical_energy,MA,-1,-1.8457683394499944,weakest
2015-01-23,ferrous,RB,-1,-2.4283540635684377,absolute
2015-01-30,agriculture,C,1,1.8184005256776414,strongest
2015-01-30,agriculture,P,-1,-1.7735352585980166,weakest
2015-01-30,base_metal,AL,-1,-1.0764400035561277,absolute
2015-01-30,chemical_energy,MA,-1,-1.8021070247245277,weakest
2015-01-30,ferrous,RB,-1,-2.228996265164447,absolute
2015-02-06,agriculture,C,1,1.974449059813108,strongest
2015-02-06,agriculture,CF,-1,-1.5090248154038959,weakest
2015-02-06,base_metal,AL,-1,-0.5282634266378132,absolute
2015-02-06,chemical_energy,MA,-1,-1.567197940515612,weakest
2015-02-06,ferrous,RB,-1,-2.2939894531944387,absolute
2015-02-13,agriculture,C,1,2.3127150329911816,strongest
2015-02-13,agriculture,CF,-1,-1.6058817485956627,weakest
2015-02-13,base_metal,AL,-1,-0.5735749115525706,absolute
2015-02-13,chemical_energy,MA,-1,-1.6933922272123811,weakest
2015-02-13,ferrous,RB,-1,-2.152222532750161,absolute
2015-02-17,agriculture,C,1,2.2357315774716513,strongest
2015-02-17,agriculture,CF,-1,-1.6172223717370158,weakest
2015-02-17,base_metal,AL,-1,-0.66513841412422,absolute
2015-02-17,chemical_energy,MA,-1,-1.6720890199385465,weakest
2015-02-17,ferrous,RB,-1,-2.180605736716536,absolute
2015-02-27,agriculture,C,1,2.4666755907341247,strongest
2015-02-27,agriculture,CF,-1,-1.5665180262974514,weakest
2015-02-27,base_metal,AL,-1,-0.7613698198295709,absolute
2015-02-27,chemical_energy,MA,-1,-1.3881290279012493,weakest
