date,equity,net_pnl
2015-01-05,10000000.0,0.0
2015-01-06,10000000.0,0.0
2015-01-07,10000000.0,0.0
2015-01-08,10000000.0,0.0
2015-01-09,10000000.0,0.0
2015-01-12,9969209.9505,-30790.0495
2015-01-13,9980854.9505,11645.0
2015-01-14,10035134.9505,54280.0
2015-01-15,9967349.9505,-67785.0
2015-01-16,9962659.9505,-4690.0
2015-01-19,9840669.9988,-121989.9517
2015-01-20,9909719.9988,69050.0
2015-01-21,9918419.9988,8700.0
2015-01-22,9939039.9988,20620.0
2015-01-23,9920709.9988,-18330.0
2015-01-26,10058726.6159,138016.6171
2015-01-27,10019931.6159,-38795.0
2015-01-28,9879277.915900001,-140653.7
2015-01-29,9807459.70305,-71818.21285
2015-01-30,9887491.54855,80031.8455
2015-02-02,9805806.44795,-81685.1006
2015-02-03,9599711.44795,-206095.0
2015-02-04,9454111.44795,-145600.0
2015-02-05,9436686.86505,-17424.5829
2015-02-06,9233446.86505,-203240.0
2015-02-09,9273449.61505,40002.75
2015-02-10,9330399.61505,56950.0
2015-02-11,9386229.61505,55830.0
2015-02-12,9453899.61505,67670.0
2015-02-13,9232349.61505,-221550.0
2015-02-16,9015056.6165,-217292.99855
2015-02-17,9074356.6165,59300.0
2015-02-25,9243123.2877,168766.6712
2015-02-26,9142438.2877,-100685.0
2015-02-27,9219163.2877,76725.0
2015-03-02,9301744.7856,82581.4979
2015-03-03,9332754.7856,31010.0
2015-03-04,9421294.7856,88540.0
2015-03-05,9431554.7856,10260.0
2015-03-06,9438754.7856,7200.0
2015-03-09,9468094.824,29340.0384
2015-03-10,9673481.234199999,205386.4102
2015-03-11,9733641.234199999,60160.0
2015-03-12,9636251.234199999,-97390.0
2015-03-13,9602911.234199999,-33340.0
2015-03-16,9463235.148599999,-139676.0856
2015-03-17,9366007.40785,-97227.74075
2015-03-18,9357989.67385,-8017.734
2015-03-19,9257429.67385,-100560.0
2015-03-20,9177874.97895,-79554.6949
2015-03-23,9049140.85455,-128734.1244
2015-03-24,8877832.52395,-171308.3306
2015-03-25,8979725.658,101893.13405
2015-03-26,9002050.658,22325.0
2015-03-27,9176495.658,174445.0
2015-03-30,9148952.5863,-27543.0717
2015-03-31,9264992.5863,116040.0
2015-04-01,9408812.5863,143820.0
2015-04-02,9543322.5863,134510.0
2015-04-03,9549812.5863,6490.0
2015-04-07,9572550.84475,22738.25845
2015-04-08,9687790.84475,115240.0
2015-04-09,9830240.84475,142450.0
2015-04-10,9929335.84475,99095.0
2015-04-13,9776174.57465,-153161.2701
2015-04-14,9539059.57465,-237115.0
2015-04-15,9465704.57465,-73355.0
2015-04-16,9418549.57465,-47155.0
2015-04-17,9536596.42695,118046.8523
2015-04-20,9560327.69345,23731.2665
2015-04-21,9411127.69345,-149200.0
2015-04-22,9187777.69345,-223350.0
2015-04-23,9035707.69345,-152070.0
2015-04-24,8813837.69345,-221870.0
2015-04-27,8540920.1577,-272917.53575
2015-04-28,8356728.2807,-184191.877
2015-04-29,8457197.5716,100469.2909
2015-04-30,8490507.5716,33310.0
2015-05-04,8219264.828399999,-271242.7432
2015-05-05,8104377.480399999,-114887.348
2015-05-06,7951958.186449999,-152419.29395
2015-05-07,8053138.945849999,101180.7594
2015-05-08,8067223.945849999,14085.0
2015-05-11,8000436.892249999,-66787.0536
2015-05-12,8140626.892249999,140190.0
2015-05-13,8191216.892249999,50590.0
2015-05-14,8282831.892249999,91615.0
2015-05-15,8283551.892249999,720.0
2015-05-18,8293654.159649999,10102.2674
2015-05-19,8317689.159649999,24035.0
2015-05-20,8264404.159649999,-53285.0
2015-05-21,8226754.159649999,-37650.0
2015-05-22,8213314.159649999,-13440.0
2015-05-25,8203482.159649999,-9832.0
2015-05-26,8102132.159649999,-101350.0
2015-05-27,8085972.159649999,-16160.0
2015-05-28,8043282.159649999,-42690.0
2015-05-29,8118697.159649999,75415.0
2015-06-01,8081154.559649999,-37542.6
2015-06-02,8121154.559649999,40000.0
2015-06-03,8010244.559649999,-110910.0
2015-06-04,7909414.559649999,-100830.0
2015-06-05,7812555.809649999,-96858.75
2015-06-08,7829158.109499999,16602.29985
2015-06-09,7763013.109499999,-66145.0
2015-06-10,7746253.109499999,-16760.0
2015-06-11,7810196.157749999,63943.04825
2015-06-12,8063256.157749999,253060.0
2015-06-15,8165910.552999999,102654.39525
2015-06-16,8245950.552999999,80040.0
2015-06-17,8270185.552999999,24235.0
2015-06-18,8295025.552999999,24840.0
2015-06-19,8188310.552999999,-106715.0
2015-06-23,8118864.7847,-69445.7683
2015-06-24,8080628.2127,-38236.572
2015-06-25,8079197.45335,-1430.75935
2015-06-26,8033849.92235,-45347.531
2015-06-29,8122203.35375,88353.4314
2015-06-30,8512233.35375,390030.0
2015-07-01,8522783.35375,10550.0
2015-07-02,8399638.35375,-123145.0
2015-07-03,8338048.35375,-61590.0
2015-07-06,8694143.0135,356094.65975
2015-07-07,8936268.0135,242125.0
2015-07-08,9359318.0135,423050.0
2015-07-09,9114993.0135,-244325.0
2015-07-10,8785073.0135,-329920.0
2015-07-13,8864832.6879,79759.6744
2015-07-14,8777692.6879,-87140.0
2015-07-15,8832332.6879,54640.0
2015-07-16,8876272.6879,43940.0
2015-07-17,8844203.1879,-32069.5
