date,horizon,sector,instrument,contract,direction,internal_target,allocated_annual_risk,internal_annual_risk,unused_annual_risk,risk_fraction,equity
2015-01-05,single_20_skip5,ferrous,RB,RB1505.SHF,1,50,275000.0,272425.6082852006,2574.3917147993925,0.1,10000000.0
2015-01-05,single_20_skip5,agriculture,CF,CF1505.ZCE,1,11,137500.0,128381.64005542733,9118.359944572672,0.05,10000000.0
2015-01-05,single_20_skip5,agriculture,P,P1505.DCE,-1,-16,137500.0,132121.55782823625,5378.442171763745,0.05,10000000.0
2015-01-05,single_20_skip5,chemical_energy,FG,FG1506.ZCE,1,38,137500.0,137397.93726448077,102.06273551922641,0.05,10000000.0
2015-01-05,single_20_skip5,chemical_energy,MA,MA1506.ZCE,-1,-18,137500.0,134226.41500144798,3273.584998552018,0.05,10000000.0
2015-01-05,single_20_skip5,government_bond,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-05,single_20_skip5,base_metal,AL,AL1503.SHF,-1,-36,275000.0,269251.7421857313,5748.257814268698,0.1,10000000.0
2015-01-05,single_250,ferrous,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-05,single_250,agriculture,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-05,single_250,chemical_energy,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-05,single_250,government_bond,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-05,single_250,base_metal,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-06,single_20_skip5,ferrous,RB,RB1505.SHF,1,48,275000.0,274057.1186861389,942.8813138611149,0.1,10000000.0
2015-01-06,single_20_skip5,agriculture,CF,CF1505.ZCE,1,12,137500.0,137265.97873713227,234.02126286772545,0.05,10000000.0
2015-01-06,single_20_skip5,agriculture,P,P1505.DCE,-1,-16,137500.0,130164.32744901556,7335.67255098444,0.05,10000000.0
2015-01-06,single_20_skip5,chemical_energy,FG,FG1506.ZCE,1,39,137500.0,137179.9433232279,320.05667677210295,0.05,10000000.0
2015-01-06,single_20_skip5,chemical_energy,MA,MA1506.ZCE,-1,-18,137500.0,131584.78675533613,5915.213244663872,0.05,10000000.0
2015-01-06,single_20_skip5,government_bond,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-06,single_20_skip5,base_metal,AL,AL1503.SHF,-1,-37,275000.0,269252.72410723835,5747.275892761652,0.1,10000000.0
2015-01-06,single_250,ferrous,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
2015-01-06,single_250,agriculture,,,0,0,275000.0,0.0,275000.0,0.1,10000000.0
