date,contract,instrument,internal_gross_lots,raw_net_target,cancelled_internal_lots,liquidity_capped_net,scaled_net_optimal,internal_order_fees
2015-01-05,AL1503.SHF,AL,36,-36,0,-36,-108,0.0
2015-01-05,CF1505.ZCE,CF,11,11,0,11,33,0.0
2015-01-05,FG1506.ZCE,FG,38,38,0,38,114,0.0
2015-01-05,MA1506.ZCE,MA,18,-18,0,-18,-54,0.0
2015-01-05,P1505.DCE,P,16,-16,0,-16,-48,0.0
2015-01-05,RB1505.SHF,RB,50,50,0,50,150,0.0
2015-01-06,AL1503.SHF,AL,37,-37,0,-37,-111,0.0
2015-01-06,CF1505.ZCE,CF,12,12,0,12,36,0.0
2015-01-06,FG1506.ZCE,FG,39,39,0,39,117,0.0
2015-01-06,MA1506.ZCE,MA,18,-18,0,-18,-54,0.0
2015-01-06,P1505.DCE,P,16,-16,0,-16,-48,0.0
2015-01-06,RB1505.SHF,RB,48,48,0,48,144,0.0
2015-01-07,AL1503.SHF,AL,38,-38,0,-38,-114,0.0
2015-01-07,CF1505.ZCE,CF,12,12,0,12,36,0.0
2015-01-07,FG1506.ZCE,FG,39,39,0,39,117,0.0
2015-01-07,MA1506.ZCE,MA,19,-19,0,-19,-57,0.0
2015-01-07,P1505.DCE,P,17,-17,0,-17,-51,0.0
2015-01-07,RB1505.SHF,RB,48,48,0,48,144,0.0
2015-01-08,AL1503.SHF,AL,38,-38,0,-38,-114,0.0
2015-01-08,CF1505.ZCE,CF,12,12,0,12,36,0.0
2015-01-08,FG1506.ZCE,FG,39,39,0,39,117,0.0
2015-01-08,MA1506.ZCE,MA,19,-19,0,-19,-57,0.0
2015-01-08,P1505.DCE,P,17,-17,0,-17,-51,0.0
2015-01-08,RB1505.SHF,RB,49,49,0,49,147,0.0
2015-01-09,AL1503.SHF,AL,39,-39,0,-39,-117,0.0
2015-01-09,CF1505.ZCE,CF,12,12,0,12,36,0.0
2015-01-09,FG1506.ZCE,FG,41,41,0,41,123,0.0
2015-01-09,JD1505.DCE,JD,36,-36,0,-36,-108,0.0
2015-01-09,MA1506.ZCE,MA,20,-20,0,-20,-60,0.0
2015-01-09,RB1505.SHF,RB,50,50,0,50,150,0.0
2015-01-12,AL1503.SHF,AL,39,-39,0,-39,-117,0.0
2015-01-12,CF1505.ZCE,CF,13,13,0,13,39,0.0
2015-01-12,FG1506.ZCE,FG,37,37,0,37,111,0.0
2015-01-12,JD1505.DCE,JD,36,-36,0,-36,-108,0.0
2015-01-12,MA1506.ZCE,MA,19,-19,0,-19,-57,0.0
2015-01-12,RB1505.SHF,RB,48,48,0,48,144,0.0
2015-01-13,AL1503.SHF,AL,40,-40,0,-40,-120,0.0
2015-01-13,CF1505.ZCE,CF,12,12,0,12,36,0.0
2015-01-13,FG1506.ZCE,FG,38,38,0,38,114,0.0
2015-01-13,JD1505.DCE,JD,35,-35,0,-35,-105,0.0
2015-01-13,MA1506.ZCE,MA,20,-20,0,-20,-60,0.0
2015-01-13,RB1505.SHF,RB,49,49,0,49,147,0.0
2015-01-14,AL1503.SHF,AL,40,-40,0,-40,-120,0.0
2015-01-14,CF1505.ZCE,CF,13,13,0,13,39,0.0
2015-01-14,FG1506.ZCE,FG,39,39,0,39,117,0.0
2015-01-14,JD1505.DCE,JD,35,-35,0,-35,-105,0.0
2015-01-14,MA1506.ZCE,MA,20,-20,0,-20,-60,0.0
2015-01-14,RB1505.SHF,RB,50,50,0,50,150,0.0
2015-01-15,AL1503.SHF,AL,33,-33,0,-33,-99,0.0
2015-01-15,CF1505.ZCE,CF,13,13,0,13,39,0.0
2015-01-15,FG1506.ZCE,FG,40,40,0,40,120,0.0
2015-01-15,JD1505.DCE,JD,35,-35,0,-35,-105,0.0
2015-01-15,MA1506.ZCE,MA,20,-20,0,-20,-60,0.0
2015-01-15,RB1505.SHF,RB,50,50,0,50,150,0.0
