signal_date,sector,instrument,direction,score,role,horizon
2014-02-14,agriculture,C,1,4.294687371933085,strongest,single_20_skip5
2014-02-14,agriculture,JD,-1,-7.771517570309395,weakest,single_20_skip5
2014-02-14,base_metal,AL,-1,-7.999276577901794,absolute,single_20_skip5
2014-02-14,chemical_energy,MA,1,2.4141914597218594,strongest,single_20_skip5
2014-02-14,chemical_energy,RU,-1,-6.531229368515947,weakest,single_20_skip5
2014-02-14,ferrous,RB,-1,-3.708329237804206,absolute,single_20_skip5
2014-02-21,agriculture,CF,1,3.7825306916194554,strongest,single_20_skip5
2014-02-21,agriculture,C,-1,-2.536825549967467,weakest,single_20_skip5
2014-02-21,base_metal,AL,-1,-3.6503043786245772,absolute,single_20_skip5
2014-02-21,chemical_energy,MA,1,3.6727363998509857,strongest,single_20_skip5
2014-02-21,chemical_energy,RU,-1,-3.6858960126019897,weakest,single_20_skip5
2014-02-21,ferrous,RB,-1,-2.5205738275182785,absolute,single_20_skip5
2014-02-28,agriculture,P,1,3.279143907278617,strongest,single_20_skip5
2014-02-28,agriculture,C,-1,-1.3706502637088065,weakest,single_20_skip5
2014-02-28,base_metal,AL,-1,-3.4025592777428897,absolute,single_20_skip5
2014-02-28,chemical_energy,FG,1,2.3669372767333687,strongest,single_20_skip5
2014-02-28,chemical_energy,RU,-1,-2.6394721365151574,weakest,single_20_skip5
2014-02-28,ferrous,RB,-1,-2.348843714865391,absolute,single_20_skip5
2014-03-07,agriculture,P,1,3.515700855332844,strongest,single_20_skip5
2014-03-07,agriculture,CF,-1,-4.917765473880718,weakest,single_20_skip5
2014-03-07,base_metal,AL,-1,-3.629383650816598,absolute,single_20_skip5
2014-03-07,chemical_energy,RU,-1,-4.546816615823294,weakest,single_20_skip5
2014-03-07,ferrous,RB,-1,-4.908957371194169,absolute,single_20_skip5
2014-03-14,agriculture,P,1,7.609786542611131,strongest,single_20_skip5
2014-03-14,agriculture,CF,-1,-2.0487632581673334,weakest,single_20_skip5
2014-03-14,base_metal,AL,-1,-2.2585195353738916,absolute,single_20_skip5
2014-03-14,chemical_energy,MA,-1,-3.546094667898313,weakest,single_20_skip5
2014-03-14,ferrous,RB,-1,-5.122075927832814,absolute,single_20_skip5
2014-03-21,agriculture,JD,1,5.314616229046389,strongest,single_20_skip5
2014-03-21,agriculture,CF,-1,-4.377189076929808,weakest,single_20_skip5
2014-03-21,base_metal,AL,-1,-5.027916288824337,absolute,single_20_skip5
2014-03-21,chemical_energy,MA,-1,-8.70182784595669,weakest,single_20_skip5
2014-03-21,ferrous,RB,-1,-5.393920058120842,absolute,single_20_skip5
2014-03-28,agriculture,JD,1,4.769262382869522,strongest,single_20_skip5
2014-03-28,agriculture,CF,-1,-3.55484339800015,weakest,single_20_skip5
2014-03-28,base_metal,AL,-1,-9.949542021838525,absolute,single_20_skip5
2014-03-28,chemical_energy,MA,-1,-9.001562710139261,weakest,single_20_skip5
2014-03-28,ferrous,RB,-1,-6.2289614478221855,absolute,single_20_skip5
2014-04-04,agriculture,JD,1,6.35813564358076,strongest,single_20_skip5
2014-04-04,agriculture,CF,-1,-0.6795961242628623,weakest,single_20_skip5
