date,contract,instrument,optimal_position,buffered_target,scenario,normal_rebalance_day,emergency_trigger
2015-01-09,RB1505.SHF,RB,150,135,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-09,CF1505.ZCE,CF,36,33,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-09,JD1505.DCE,JD,-108,-98,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-09,FG1506.ZCE,FG,123,111,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-09,MA1506.ZCE,MA,-60,-54,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-09,AL1503.SHF,AL,-117,-106,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-12,AL1503.SHF,AL,-117,-106,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-12,CF1505.ZCE,CF,39,33,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-12,FG1506.ZCE,FG,111,111,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-12,JD1505.DCE,JD,-108,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-12,MA1506.ZCE,MA,-57,-54,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-12,RB1505.SHF,RB,144,135,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,AL1503.SHF,AL,-120,-106,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,CF1505.ZCE,CF,36,33,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,FG1506.ZCE,FG,114,111,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,JD1505.DCE,JD,-105,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,MA1506.ZCE,MA,-60,-54,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-13,RB1505.SHF,RB,147,135,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,AL1503.SHF,AL,-120,-106,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,CF1505.ZCE,CF,39,33,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,FG1506.ZCE,FG,117,111,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,JD1505.DCE,JD,-105,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,MA1506.ZCE,MA,-60,-54,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-14,RB1505.SHF,RB,150,135,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,AL1503.SHF,AL,-99,-106,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,CF1505.ZCE,CF,39,33,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,FG1506.ZCE,FG,120,111,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,JD1505.DCE,JD,-105,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,MA1506.ZCE,MA,-60,-54,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-15,RB1505.SHF,RB,150,135,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-16,RB1505.SHF,RB,-306,-276,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-16,JD1505.DCE,JD,-108,-98,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-16,MA1506.ZCE,MA,-180,-162,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-16,RU1505.SHF,RU,9,8,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-16,AL1503.SHF,AL,-204,-184,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-16,C1505.DCE,C,345,311,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-19,AL1503.SHF,AL,-210,-184,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-19,JD1505.DCE,JD,-111,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-19,MA1506.ZCE,MA,-180,-162,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-19,C1505.DCE,C,345,311,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-19,RB1505.SHF,RB,-312,-276,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-19,RU1505.SHF,RU,9,8,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,AL1503.SHF,AL,-216,-184,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,JD1505.DCE,JD,-114,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,MA1506.ZCE,MA,-189,-162,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,C1505.DCE,C,354,311,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,RB1505.SHF,RB,-318,-276,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-20,RU1505.SHF,RU,9,8,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,AL1503.SHF,AL,-222,-184,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,JD1505.DCE,JD,-111,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,MA1506.ZCE,MA,-183,-162,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,C1505.DCE,C,363,311,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,RB1505.SHF,RB,-324,-276,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-21,RU1505.SHF,RU,9,8,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,AL1503.SHF,AL,-219,-184,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,JD1505.DCE,JD,-112,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,MA1506.ZCE,MA,-190,-162,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,C1505.DCE,C,368,311,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,RB1505.SHF,RB,-326,-276,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-22,RU1505.SHF,RU,8,8,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-23,RB1505.SHF,RB,-313,-282,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,SR1505.ZCE,SR,44,40,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,JD1505.DCE,JD,-107,-98,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,FG1506.ZCE,FG,115,104,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,MA1506.ZCE,MA,-181,-163,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,AL1503.SHF,AL,-209,-189,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,CF1505.ZCE,CF,-38,-35,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-23,C1505.DCE,C,346,312,S1__strategy_sleeve_20skip5_250_equal_risk,True,False
2015-01-26,AL1503.SHF,AL,-216,-189,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,JD1505.DCE,JD,-102,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,MA1506.ZCE,MA,-181,-163,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,C1505.DCE,C,338,312,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,RB1505.SHF,RB,-314,-282,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,CF1505.ZCE,CF,-40,-35,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,FG1506.ZCE,FG,116,104,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-26,SR1505.ZCE,SR,43,40,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-27,JD1505.DCE,JD,-105,-98,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-27,MA1506.ZCE,MA,-185,-163,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-27,RB1505.SHF,RB,-317,-282,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
2015-01-27,CF1505.ZCE,CF,-40,-35,S1__strategy_sleeve_20skip5_250_equal_risk,False,False
