date,created_date,contract,instrument,quantity,order_quantity,segment_index,transaction_type,price,open_price,slippage_cost,base_slippage_ticks,roll_extra_ticks,impact_ticks,total_slippage_ticks,participation_rate,liquidity_tier,lagged_median_volume,point_value,traded_notional,exchange_commission,commission,fee_multiplier,fee_per_lot,fee_rate,fee_rule_id,fee_source_type,fee_source_url,fee_is_proxy,attempt,reason,scenario,recomputed_client
2015-01-12,2015-01-09,AL1503.SHF,AL,-106,-106,1,open,12835.0,12840.0,2650.0,1.0,0.0,0.0,1.0,0.002387279852258907,核心高流动性,44402.0,5.0,6802550.0,318.0,477.0,1.5,3.0,0.0,FEE-002068,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,True,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,477.0
2015-01-12,2015-01-09,CF1505.ZCE,CF,33,33,1,open,13140.0,13130.0,1650.0,2.0,0.0,0.0,2.0,0.00013111106696597072,其他,251695.0,5.0,2168100.0,141.9,212.85000000000002,1.5,4.3,0.0,FEE-000445,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,212.85000000000002
2015-01-12,2015-01-09,FG1506.ZCE,FG,111,111,1,open,948.0,946.0,4440.0,2.0,0.0,0.0,2.0,0.00023558325958091648,其他,471171.0,20.0,2104560.0,333.0,499.5,1.5,3.0,0.0,FEE-000574,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,499.5
2015-01-12,2015-01-09,JD1505.DCE,JD,-98,-98,1,open,4278.0,4280.0,980.0,2.0,0.0,0.0,2.0,0.0007019303083479569,其他,139615.0,5.0,2096220.0,147.0,220.5,1.5,1.5,0.0,FEE-000700,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,220.5
2015-01-12,2015-01-09,MA1506.ZCE,MA,-54,-54,1,open,2007.0,2009.0,1080.0,2.0,0.0,0.0,2.0,3.851560845032449e-05,其他,1402029.0,10.0,1083780.0,75.6,113.39999999999999,1.5,1.4,0.0,FEE-001078,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,113.39999999999999
2015-01-12,2015-01-09,RB1505.SHF,RB,135,135,1,open,2558.0,2557.0,1350.0,1.0,0.0,0.0,1.0,3.338546411730317e-05,核心高流动性,4043676.0,10.0,3453300.0,34.533,51.7995,1.5,0.0,1e-05,FEE-002098,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,True,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,517.9950000000001
2015-01-19,2015-01-16,AL1503.SHF,AL,-78,-78,1,open,12835.0,12840.0,1950.0,1.0,0.0,0.0,1.0,0.001677599741907732,核心高流动性,46495.0,5.0,5005650.0,234.0,351.0,1.5,3.0,0.0,FEE-002068,proxy_latest_instrument,https://tushare.pro/document/2?doc_id=141,True,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,351.0
2015-01-19,2015-01-16,C1505.DCE,C,311,311,1,open,2411.0,2409.0,6220.0,2.0,0.0,0.0,2.0,0.00771214601001835,其他,40326.0,10.0,7498210.0,373.2,559.8,1.5,1.2,0.0,FEE-000301,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,normal_rebalance,S1__strategy_sleeve_20skip5_250_equal_risk,559.8
2015-01-19,2015-01-16,CF1505.ZCE,CF,-33,-33,1,close_non_today,13095.0,13105.0,1650.0,2.0,0.0,0.0,2.0,0.00014004651241745743,其他,235636.0,5.0,2160675.0,141.9,212.85000000000002,1.5,4.3,0.0,FEE-000446,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,signal_exit,S1__strategy_sleeve_20skip5_250_equal_risk,212.85000000000002
2015-01-19,2015-01-16,FG1506.ZCE,FG,-111,-111,1,close_non_today,911.0,913.0,4440.0,2.0,0.0,0.0,2.0,0.00023888640198340278,其他,464656.0,20.0,2022420.0,333.0,499.5,1.5,3.0,0.0,FEE-000575,tushare_historical,https://tushare.pro/document/2?doc_id=141,False,1,signal_exit,S1__strategy_sleeve_20skip5_250_equal_risk,499.5
