date,instrument,contract,open,high,low,close,settle,pre_settle,vol,direction,source
2020-02-03,JD,JD2005.DCE,3203.0,3203.0,3203.0,3203.0,3203.0,3444.0,33506.0,-1.0,tushare_fut_mapping
2020-02-03,P,P2005.DCE,5676.0,5676.0,5676.0,5676.0,5676.0,6102.0,122242.0,-1.0,tushare_fut_mapping
2020-02-03,RU,RU2005.SHF,11145.0,11145.0,11145.0,11145.0,11145.0,12250.0,20732.0,-1.0,tushare_fut_mapping
2020-02-03,SC,SC2003.INE,415.5,415.5,415.5,415.5,415.5,451.7,771.0,-1.0,tushare_fut_mapping
2020-03-09,MA,MA2005.ZCE,1918.0,1918.0,1918.0,1918.0,1918.0,2019.0,36122.0,-1.0,tushare_fut_mapping
2020-03-09,SC,SC2005.INE,338.1,338.1,338.1,338.1,338.1,359.7,302.0,-1.0,tushare_fut_mapping
2020-03-10,SC,SC2005.INE,307.6,307.6,307.6,307.6,307.6,338.1,1371.0,-1.0,tushare_fut_mapping
2021-10-08,CF,CF2201.ZCE,21255.0,21255.0,21255.0,21255.0,21255.0,19680.0,34107.0,1.0,tushare_fut_mapping
2021-10-20,UR,UR2201.ZCE,2978.0,2978.0,2978.0,2978.0,2978.0,3238.0,10094.0,-1.0,tushare_fut_mapping
2024-10-08,SC,SC2411.INE,580.1,580.1,580.1,580.1,580.1,527.4,2339.0,1.0,tushare_fut_mapping
2025-04-07,RU,RU2509.SHF,15580.0,15580.0,15580.0,15580.0,15580.0,16575.0,11284.0,-1.0,tushare_fut_mapping
2025-04-07,SC,SC2505.INE,510.1,510.1,510.1,510.1,510.1,548.6,772.0,-1.0,tushare_fut_mapping
