run,date,contract,quantity,reason,is_mapped_that_day,board,adverse,in_T2b_scope
v3,2021-10-08,CF2201.ZCE,80,normal_rebalance,True,涨停,True,True
v3,2025-04-07,RU2505.SHF,-94,roll,False,跌停,True,False
v3,2025-04-07,RU2505.SHF,-10,roll,False,跌停,True,False
v3,2025-04-07,RU2505.SHF,-1,roll,False,跌停,True,False
v3,2025-04-07,RU2505.SHF,-11,roll,False,跌停,True,False
S1,2020-02-03,JD2005.DCE,86,signal_exit,True,跌停,False,True
S1,2020-02-03,JD2005.DCE,44,signal_exit,True,跌停,False,True
S1,2020-02-03,P2005.DCE,-42,signal_exit,True,跌停,True,True
S1,2020-02-03,RU2005.SHF,21,signal_exit,True,跌停,False,True
S1,2020-03-09,SC2005.INE,-2,normal_rebalance,True,跌停,True,True
S1,2021-10-08,CF2201.ZCE,84,normal_rebalance,True,涨停,True,True
S1,2025-04-07,RU2505.SHF,-50,roll,False,跌停,True,False
S1,2025-04-07,RU2505.SHF,-10,roll,False,跌停,True,False
S1,2025-04-07,RU2505.SHF,-23,roll,False,跌停,True,False
S1,2025-04-07,RU2505.SHF,-17,roll,False,跌停,True,False
S1,2025-04-07,RU2505.SHF,-39,roll,False,跌停,True,False
S1,2025-04-07,RU2505.SHF,-23,roll,False,跌停,True,False
