instrument,date,repo_contract,my_maxoi_contract,match,repo_source,my_oi
AL,2014-02-20,AL1404.SHF,AL1405.SHF,False,tushare_fut_mapping,83168.0
AL,2014-03-07,AL1405.SHF,AL1406.SHF,False,tushare_fut_mapping,101952.0
AL,2014-04-23,AL1406.SHF,AL1407.SHF,False,tushare_fut_mapping,116796.0
AL,2014-05-23,AL1407.SHF,AL1408.SHF,False,tushare_fut_mapping,105802.0
AL,2014-06-25,AL1408.SHF,AL1409.SHF,False,tushare_fut_mapping,131148.0
AL,2014-07-22,AL1409.SHF,AL1410.SHF,False,tushare_fut_mapping,136742.0
AL,2014-08-25,AL1410.SHF,AL1411.SHF,False,tushare_fut_mapping,123360.0
AL,2014-09-17,AL1411.SHF,AL1412.SHF,False,tushare_fut_mapping,142584.0
AL,2014-10-22,AL1412.SHF,AL1501.SHF,False,tushare_fut_mapping,124122.0
AL,2014-11-27,AL1501.SHF,AL1502.SHF,False,tushare_fut_mapping,109582.0
AL,2014-12-17,AL1502.SHF,AL1503.SHF,False,tushare_fut_mapping,109378.0
AL,2015-01-26,AL1503.SHF,AL1504.SHF,False,tushare_fut_mapping,123432.0
AL,2015-02-26,AL1504.SHF,AL1505.SHF,False,tushare_fut_mapping,111168.0
AL,2015-03-20,AL1505.SHF,AL1506.SHF,False,tushare_fut_mapping,110252.0
AL,2015-04-22,AL1506.SHF,AL1507.SHF,False,tushare_fut_mapping,117800.0
AL,2015-05-26,AL1507.SHF,AL1508.SHF,False,tushare_fut_mapping,109448.0
AL,2015-06-24,AL1508.SHF,AL1509.SHF,False,tushare_fut_mapping,103636.0
AL,2015-07-20,AL1509.SHF,AL1510.SHF,False,tushare_fut_mapping,118654.0
AL,2015-08-27,AL1510.SHF,AL1511.SHF,False,tushare_fut_mapping,119978.0
AL,2015-09-18,AL1511.SHF,AL1512.SHF,False,tushare_fut_mapping,113462.0
AL,2015-10-21,AL1512.SHF,AL1601.SHF,False,tushare_fut_mapping,148248.0
AL,2015-11-20,AL1601.SHF,AL1602.SHF,False,tushare_fut_mapping,233302.0
AL,2015-12-16,AL1602.SHF,AL1603.SHF,False,tushare_fut_mapping,227004.0
AL,2016-01-27,AL1603.SHF,AL1604.SHF,False,tushare_fut_mapping,193048.0
AL,2016-02-26,AL1604.SHF,AL1605.SHF,False,tushare_fut_mapping,216438.0
AL,2016-03-30,AL1605.SHF,AL1606.SHF,False,tushare_fut_mapping,205598.0
AL,2016-04-27,AL1606.SHF,AL1607.SHF,False,tushare_fut_mapping,269178.0
AL,2016-06-01,AL1607.SHF,AL1608.SHF,False,tushare_fut_mapping,191050.0
AL,2016-07-01,AL1608.SHF,AL1609.SHF,False,tushare_fut_mapping,167108.0
AL,2016-08-01,AL1609.SHF,AL1610.SHF,False,tushare_fut_mapping,149648.0
AL,2016-09-01,AL1610.SHF,AL1611.SHF,False,tushare_fut_mapping,160242.0
AL,2016-09-28,AL1611.SHF,AL1612.SHF,False,tushare_fut_mapping,169682.0
AL,2016-11-02,AL1612.SHF,AL1701.SHF,False,tushare_fut_mapping,187476.0
AL,2016-11-22,AL1701.SHF,AL1702.SHF,False,tushare_fut_mapping,194690.0
AL,2016-12-30,AL1702.SHF,AL1703.SHF,False,tushare_fut_mapping,212692.0
AL,2017-02-07,AL1703.SHF,AL1704.SHF,False,tushare_fut_mapping,226200.0
AL,2017-03-03,AL1704.SHF,AL1705.SHF,False,tushare_fut_mapping,249474.0
