instrument,date,repo_contract,my_maxoi_contract,match,repo_source,my_oi
AL,2014-01-02,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,54082.0
AL,2014-01-03,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,53064.0
AL,2014-01-06,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,51162.0
AL,2014-01-07,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,52682.0
AL,2014-01-08,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,54204.0
AL,2014-01-09,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,56486.0
AL,2014-01-10,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,56888.0
AL,2014-01-13,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,58612.0
AL,2014-01-14,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,60910.0
AL,2014-01-15,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,64212.0
AL,2014-01-16,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,60902.0
AL,2014-01-17,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,60814.0
AL,2014-01-20,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,60802.0
AL,2014-01-21,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,58748.0
AL,2014-01-22,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,57760.0
AL,2014-01-23,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,57740.0
AL,2014-01-24,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,59992.0
AL,2014-01-27,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,63788.0
AL,2014-01-28,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,65194.0
AL,2014-01-29,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,65932.0
AL,2014-01-30,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,67012.0
AL,2014-02-07,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,68510.0
AL,2014-02-10,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,72484.0
AL,2014-02-11,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,77276.0
AL,2014-02-12,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,78572.0
AL,2014-02-13,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,80376.0
AL,2014-02-14,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,80498.0
AL,2014-02-17,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,82666.0
AL,2014-02-18,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,84866.0
AL,2014-02-19,AL1404.SHF,AL1404.SHF,True,tushare_fut_mapping,84648.0
AL,2014-02-20,AL1404.SHF,AL1405.SHF,False,tushare_fut_mapping,83168.0
AL,2014-02-21,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,84944.0
AL,2014-02-24,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,85950.0
AL,2014-02-25,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,86774.0
AL,2014-02-26,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,88808.0
AL,2014-02-27,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,90708.0
AL,2014-02-28,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,92684.0
AL,2014-03-03,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,95214.0
AL,2014-03-04,AL1405.SHF,AL1405.SHF,True,tushare_fut_mapping,95212.0
