date,util,kind,scenario
2015-01-19,0.8156731580246881,comm,S1_fb1p5
2015-01-20,0.8086316768758711,comm,S1_fb1p5
2015-01-21,0.8086555999816892,comm,S1_fb1p5
2015-01-22,0.8081931518003581,comm,S1_fb1p5
2015-01-23,0.8098155148141392,comm,S1_fb1p5
2015-01-26,0.9265863500572007,comm,S1_fb1p5
2015-01-27,0.9335168874962261,comm,S1_fb1p5
2015-01-28,0.9845963523654818,comm,S1_fb1p5
2015-01-29,0.9801503979935335,comm,S1_fb1p5
2015-01-30,0.9603177645843308,comm,S1_fb1p5
2015-02-02,0.9422526864867518,comm,S1_fb1p5
2015-02-03,0.9701932240878861,comm,S1_fb1p5
2015-02-04,0.9935355957789929,comm,S1_fb1p5
2015-02-05,0.9734506804524904,comm,S1_fb1p5
2015-02-06,0.9987150800537005,comm,S1_fb1p5
2015-02-09,0.933183502011548,comm,S1_fb1p5
2015-02-10,0.9273631135308702,comm,S1_fb1p5
2015-02-11,0.9199347386148515,comm,S1_fb1p5
2015-02-12,0.9112541227204937,comm,S1_fb1p5
2015-02-13,0.9392563024654302,comm,S1_fb1p5
2015-02-16,0.8499994246819271,comm,S1_fb1p5
2015-02-17,0.8428426056226507,comm,S1_fb1p5
2015-02-25,0.7212475607537709,comm,S1_fb1p5
2015-02-26,0.7289319506773005,comm,S1_fb1p5
2015-02-27,0.7247984623414818,comm,S1_fb1p5
2015-03-09,0.7317399979918072,comm,S1_fb1p5
2015-03-10,0.7622995482670041,comm,S1_fb1p5
2015-03-11,0.7564140127880039,comm,S1_fb1p5
2015-03-12,0.7685843158815139,comm,S1_fb1p5
2015-03-13,0.7729392557608445,comm,S1_fb1p5
2015-03-16,0.9854126235444524,comm,S1_fb1p5
2015-03-17,0.9850410210296683,comm,S1_fb1p5
2015-03-18,0.966627242096377,comm,S1_fb1p5
2015-03-19,0.9774937070882062,comm,S1_fb1p5
2015-03-20,0.9816027765863818,comm,S1_fb1p5
2015-03-23,0.9277586206737735,comm,S1_fb1p5
2015-03-24,0.9937108355221419,comm,S1_fb1p5
2015-03-25,0.9529006036366818,comm,S1_fb1p5
2015-03-26,0.9465763634008646,comm,S1_fb1p5
2015-03-27,0.9243046995947263,comm,S1_fb1p5
2015-03-30,0.7561647559917904,comm,S1_fb1p5
2015-03-31,0.743234141674577,comm,S1_fb1p5
2015-04-01,0.7273750937993003,comm,S1_fb1p5
