date,util,kind,scenario
2015-12-14,3.0070578931542564,total,S3_real
2015-12-21,4.0249185045558695,total,S3_real
2016-01-18,5.596017706892002,total,S3_real
2016-02-19,6.415755271248382,total,S3_real
2016-02-22,6.315420844781897,total,S3_real
2016-02-29,6.39769741083043,total,S3_real
2016-03-14,6.229505786066516,total,S3_real
2016-03-21,6.427134491247342,total,S3_real
2016-04-18,14.545183421655524,total,S3_real
2016-05-20,10.877235087634642,total,S3_real
2016-05-23,11.03311040093653,total,S3_real
2016-05-31,12.009409352441958,total,S3_real
2016-06-14,12.825762851138181,total,S3_real
2016-07-18,13.826832249332327,total,S3_real
2016-08-19,16.055201978617216,total,S3_real
2016-08-22,15.696018849397625,total,S3_real
2016-08-31,16.997165264397445,total,S3_real
2016-10-24,15.413733240617011,total,S3_real
2016-11-18,14.695416296153077,total,S3_real
2016-12-19,2.9545600218087364,total,S3_real
2017-02-17,4.086654533531483,total,S3_real
2017-02-20,4.24060070586869,total,S3_real
2017-02-28,4.1065655683958475,total,S3_real
2017-03-20,5.5769842065604225,total,S3_real
2017-04-24,10.080794834539748,total,S3_real
2017-05-19,7.6592665238533755,total,S3_real
2017-05-22,7.971029982288091,total,S3_real
2017-05-31,9.19052772687007,total,S3_real
2017-06-12,9.995626605510317,total,S3_real
2017-08-18,10.022013178308088,total,S3_real
2017-08-21,9.795199133917338,total,S3_real
2017-08-31,10.284128454893676,total,S3_real
2017-10-23,11.121883667297734,total,S3_real
2017-11-20,10.303795111131768,total,S3_real
2017-11-30,10.51036966277665,total,S3_real
2017-12-11,7.988892841849767,total,S3_real
2017-12-18,9.578289577423526,total,S3_real
2018-01-22,9.66174934356319,total,S3_real
2018-02-05,9.909917367519714,total,S3_real
2018-02-14,9.188463096092798,total,S3_real
2018-02-23,9.16261198681247,total,S3_real
2018-02-28,9.225539470735761,total,S3_real
2018-05-21,10.309970240445097,total,S3_real
2018-06-19,10.536931084778255,total,S3_real
2018-07-23,9.228236054161687,total,S3_real
2018-08-17,11.99981534333969,total,S3_real
2018-08-20,9.414652715544564,total,S3_real
2018-08-30,11.204671850489582,total,S3_real
2018-09-17,10.860630936305373,total,S3_real
2018-09-25,2.578981049315668,total,S3_real
2018-10-22,12.141755205704829,total,S3_real
2018-11-19,11.905157219784638,total,S3_real
2018-11-29,11.221814144395134,total,S3_real
2018-12-03,11.610276687308327,total,S3_real
2018-12-17,11.687722454372976,total,S3_real
2019-01-21,11.064020973518717,total,S3_real
2019-03-18,9.965525079939637,total,S3_real
2019-05-30,5.33897440468306,total,S3_real
2019-06-17,9.114545431678826,total,S3_real
2019-06-24,9.195913495711242,total,S3_real
2019-07-22,9.665683876432142,total,S3_real
2019-08-19,19.73340677354726,total,S3_real
2019-08-29,18.93595712300591,total,S3_real
2019-09-17,12.577430476587967,total,S3_real
2019-12-16,9.641504593330527,total,S3_real
2019-12-23,9.319756817347379,total,S3_real
2020-01-20,9.315863981841837,total,S3_real
2020-02-24,8.932188427746162,total,S3_real
2020-02-27,8.750406554018554,total,S3_real
2020-03-16,8.936353329726018,total,S3_real
2020-03-23,7.694540464797569,total,S3_real
2020-04-20,8.40218553912481,total,S3_real
2020-08-24,11.37487911828026,total,S3_real
2020-08-28,10.206702643470024,total,S3_real
2020-10-09,12.881601558350924,total,S3_real
2020-11-23,9.277846721545322,total,S3_real
2020-11-27,9.066102145216265,total,S3_real
2020-12-30,10.582846206886623,total,S3_real
2021-01-18,12.96393840571231,total,S3_real
2021-02-22,14.099676519563385,total,S3_real
2021-02-25,13.720177956278924,total,S3_real
2021-03-15,10.340791120272822,total,S3_real
2021-03-22,10.304092390371556,total,S3_real
2021-06-21,12.685581560598184,total,S3_real
2021-07-19,11.797666813333576,total,S3_real
2021-08-16,10.798748626853648,total,S3_real
2021-08-23,12.266894537378622,total,S3_real
2021-08-30,11.562352213269218,total,S3_real
2021-09-13,12.767746652802492,total,S3_real
2021-09-22,12.324306103377722,total,S3_real
2021-11-29,12.545095903280332,total,S3_real
2021-12-20,13.57750077762802,total,S3_real
2021-12-27,13.304009972727645,total,S3_real
2022-01-24,13.057974170808023,total,S3_real
2022-02-21,11.264200942955565,total,S3_real
2022-02-25,10.949770413673061,total,S3_real
2022-04-18,14.547577212515776,total,S3_real
2022-04-28,14.786546759295074,total,S3_real
2022-05-23,16.265592029499615,total,S3_real
2022-05-30,15.96642653820551,total,S3_real
2022-06-13,19.146486180622016,total,S3_real
2022-06-20,20.431071657252254,total,S3_real
2022-08-22,17.262061303933066,total,S3_real
2022-08-30,17.520101046337654,total,S3_real
2022-09-13,13.038882517289535,total,S3_real
2022-09-19,13.220583104312222,total,S3_real
2022-12-26,13.625527452423741,total,S3_real
2023-01-30,14.511213896265893,total,S3_real
2023-02-27,13.183279896529807,total,S3_real
2023-03-13,18.139317435904246,total,S3_real
2023-03-20,17.627716357267882,total,S3_real
2023-04-21,16.191158123823083,total,S3_real
2023-04-24,16.68547013978698,total,S3_real
2023-04-27,16.35660753941996,total,S3_real
2023-05-04,17.89282945308213,total,S3_real
2023-05-22,12.890021654471347,total,S3_real
2023-05-30,13.521320998893291,total,S3_real
2023-06-12,14.162213364628908,total,S3_real
2023-06-19,15.417932167305738,total,S3_real
2023-08-30,8.932029816764242,total,S3_real
2023-09-11,14.65731792933502,total,S3_real
2023-10-23,15.773245669708139,total,S3_real
2023-11-29,11.605511858641934,total,S3_real
2024-01-08,15.23040105239046,total,S3_real
2024-01-22,9.047226811805267,total,S3_real
2024-02-20,15.910988566892687,total,S3_real
2024-02-28,14.665106985738065,total,S3_real
2024-03-11,9.104964647844184,total,S3_real
2024-03-18,8.935138188494243,total,S3_real
2024-04-22,13.87857787475396,total,S3_real
2024-06-17,12.95924079366169,total,S3_real
2024-06-24,20.00516514931099,total,S3_real
2024-07-22,17.88090697222478,total,S3_real
2024-08-19,14.608842853473082,total,S3_real
2024-08-29,14.306435877705022,total,S3_real
2024-09-18,8.830530099399232,total,S3_real
2024-09-23,9.161812478020254,total,S3_real
2024-11-18,15.731519013135221,total,S3_real
2024-11-28,13.568949601277335,total,S3_real
2024-12-16,14.61054964549133,total,S3_real
2024-12-23,14.921025435982672,total,S3_real
2024-12-30,15.293987485795364,total,S3_real
2025-01-20,15.27157583301843,total,S3_real
2025-04-21,8.48733106962882,total,S3_real
2025-05-19,9.531392675490016,total,S3_real
2025-06-23,17.188877372107946,total,S3_real
2025-11-27,13.3427663842991,total,S3_real
2025-12-22,8.795766693218875,total,S3_real
2025-12-23,8.945298350807764,total,S3_real
2026-07-20,14.175900149997005,total,S3_real
2026-08-28,9.390962135379906,total,S3_real
