symbol,date,field,repo,sina,absdiff
RB2410,2024-09-25,open,3150.0,3150.0,0.0
RB2410,2024-09-25,high,3206.0,3206.0,0.0
RB2410,2024-09-25,low,3126.0,3126.0,0.0
RB2410,2024-09-25,close,3128.0,3136.0,8.0
RB2410,2024-09-25,settle,3161.0,0.0,3161.0
RB2410,2024-09-10,open,3033.0,3033.0,0.0
RB2410,2024-09-10,high,3044.0,3044.0,0.0
RB2410,2024-09-10,low,2982.0,2982.0,0.0
RB2410,2024-09-10,close,3006.0,3006.0,0.0
RB2410,2024-09-10,settle,3015.0,3015.0,0.0
RB2410,2024-08-08,open,3306.0,3306.0,0.0
RB2410,2024-08-08,high,3323.0,3323.0,0.0
RB2410,2024-08-08,low,3252.0,3252.0,0.0
RB2410,2024-08-08,close,3254.0,3254.0,0.0
RB2410,2024-08-08,settle,3286.0,3286.0,0.0
RB2410,2024-08-07,open,3305.0,3305.0,0.0
RB2410,2024-08-07,high,3335.0,3335.0,0.0
RB2410,2024-08-07,low,3296.0,3296.0,0.0
RB2410,2024-08-07,close,3304.0,3304.0,0.0
RB2410,2024-08-07,settle,3313.0,3313.0,0.0
RB2410,2024-08-02,open,3354.0,3354.0,0.0
RB2410,2024-08-02,high,3382.0,3382.0,0.0
RB2410,2024-08-02,low,3324.0,3324.0,0.0
RB2410,2024-08-02,close,3379.0,3379.0,0.0
RB2410,2024-08-02,settle,3353.0,3353.0,0.0
RB2410,2024-07-17,open,3538.0,3538.0,0.0
RB2410,2024-07-17,high,3556.0,3556.0,0.0
RB2410,2024-07-17,low,3484.0,3484.0,0.0
RB2410,2024-07-17,close,3487.0,3487.0,0.0
RB2410,2024-07-17,settle,3521.0,3521.0,0.0
RB2410,2024-07-12,open,3517.0,3517.0,0.0
RB2410,2024-07-12,high,3529.0,3529.0,0.0
RB2410,2024-07-12,low,3505.0,3505.0,0.0
RB2410,2024-07-12,close,3523.0,3523.0,0.0
RB2410,2024-07-12,settle,3519.0,3519.0,0.0
RB2410,2024-06-28,open,3535.0,3535.0,0.0
RB2410,2024-06-28,high,3553.0,3553.0,0.0
RB2410,2024-06-28,low,3523.0,3523.0,0.0
RB2410,2024-06-28,close,3544.0,3544.0,0.0
RB2410,2024-06-28,settle,3537.0,3537.0,0.0
RB2410,2024-06-21,open,3594.0,3594.0,0.0
RB2410,2024-06-21,high,3615.0,3615.0,0.0
RB2410,2024-06-21,low,3563.0,3563.0,0.0
RB2410,2024-06-21,close,3563.0,3563.0,0.0
RB2410,2024-06-21,settle,3586.0,3586.0,0.0
RB2410,2024-06-12,open,3598.0,3598.0,0.0
RB2410,2024-06-12,high,3618.0,3618.0,0.0
RB2410,2024-06-12,low,3588.0,3588.0,0.0
RB2410,2024-06-12,close,3608.0,3608.0,0.0
RB2410,2024-06-12,settle,3604.0,3604.0,0.0
RB2410,2024-05-20,open,3710.0,3710.0,0.0
RB2410,2024-05-20,high,3759.0,3759.0,0.0
RB2410,2024-05-20,low,3695.0,3695.0,0.0
RB2410,2024-05-20,close,3735.0,3735.0,0.0
RB2410,2024-05-20,settle,3730.0,3730.0,0.0
RB2410,2024-04-30,open,3688.0,3688.0,0.0
RB2410,2024-04-30,high,3710.0,3710.0,0.0
RB2410,2024-04-30,low,3634.0,3634.0,0.0
RB2410,2024-04-30,close,3656.0,3656.0,0.0
RB2410,2024-04-30,settle,3670.0,3670.0,0.0
RB2410,2024-04-16,open,3618.0,3618.0,0.0
RB2410,2024-04-16,high,3635.0,3635.0,0.0
RB2410,2024-04-16,low,3594.0,3594.0,0.0
RB2410,2024-04-16,close,3608.0,3608.0,0.0
RB2410,2024-04-16,settle,3612.0,3612.0,0.0
RB2410,2024-03-11,open,3700.0,3700.0,0.0
RB2410,2024-03-11,high,3709.0,3709.0,0.0
RB2410,2024-03-11,low,3636.0,3636.0,0.0
RB2410,2024-03-11,close,3637.0,3637.0,0.0
RB2410,2024-03-11,settle,3669.0,3669.0,0.0
RB2410,2024-02-21,open,3745.0,3745.0,0.0
RB2410,2024-02-21,high,3822.0,3822.0,0.0
RB2410,2024-02-21,low,3705.0,3705.0,0.0
RB2410,2024-02-21,close,3770.0,3770.0,0.0
RB2410,2024-02-21,settle,3756.0,3756.0,0.0
RB2410,2024-01-29,open,3953.0,3953.0,0.0
RB2410,2024-01-29,high,3962.0,3962.0,0.0
RB2410,2024-01-29,low,3924.0,3924.0,0.0
RB2410,2024-01-29,close,3945.0,3945.0,0.0
RB2410,2024-01-29,settle,3944.0,3944.0,0.0
RB2410,2024-01-10,open,3921.0,3921.0,0.0
RB2410,2024-01-10,high,3924.0,3924.0,0.0
RB2410,2024-01-10,low,3866.0,3866.0,0.0
RB2410,2024-01-10,close,3867.0,3867.0,0.0
RB2410,2024-01-10,settle,3895.0,3895.0,0.0
RB2410,2024-01-09,open,3931.0,3931.0,0.0
RB2410,2024-01-09,high,3939.0,3939.0,0.0
RB2410,2024-01-09,low,3910.0,3910.0,0.0
RB2410,2024-01-09,close,3917.0,3917.0,0.0
RB2410,2024-01-09,settle,3924.0,3924.0,0.0
RB2410,2023-11-20,open,3891.0,3891.0,0.0
RB2410,2023-11-20,high,3938.0,3938.0,0.0
RB2410,2023-11-20,low,3883.0,3883.0,0.0
RB2410,2023-11-20,close,3927.0,3927.0,0.0
RB2410,2023-11-20,settle,3910.0,3910.0,0.0
RB2410,2023-10-18,open,3636.0,3636.0,0.0
RB2410,2023-10-18,high,3636.0,3636.0,0.0
RB2410,2023-10-18,low,3593.0,3593.0,0.0
RB2410,2023-10-18,close,3602.0,3602.0,0.0
RB2410,2023-10-18,settle,3615.0,3615.0,0.0
T2403,2024-03-06,ROW,has,MISSING,
T2403,2024-02-28,open,103.805,103.805,0.0
T2403,2024-02-28,high,103.9,103.9,0.0
T2403,2024-02-28,low,103.735,103.735,0.0
T2403,2024-02-28,close,103.9,103.9,0.0
T2403,2024-02-28,settle,103.835,0.0,103.835
T2403,2024-02-07,open,103.25,103.25,0.0
T2403,2024-02-07,high,103.485,103.485,0.0
T2403,2024-02-07,low,103.215,103.215,0.0
T2403,2024-02-07,close,103.41,103.41,0.0
T2403,2024-02-07,settle,103.425,0.0,103.425
T2403,2024-01-22,open,102.945,102.945,0.0
T2403,2024-01-22,high,103.19,103.19,0.0
T2403,2024-01-22,low,102.92,102.92,0.0
T2403,2024-01-22,close,103.125,103.125,0.0
T2403,2024-01-22,settle,103.14,0.0,103.14
T2403,2024-01-05,open,102.9,102.9,0.0
T2403,2024-01-05,high,103.06,103.06,0.0
T2403,2024-01-05,low,102.85,102.85,0.0
T2403,2024-01-05,close,102.95,102.95,0.0
T2403,2024-01-05,settle,103.0,0.0,103.0
T2403,2024-01-03,open,102.695,102.695,0.0
T2403,2024-01-03,high,102.82,102.82,0.0
T2403,2024-01-03,low,102.63,102.63,0.0
T2403,2024-01-03,close,102.815,102.815,0.0
