date,equity,gross_pnl,fees,net_pnl
2015-01-05,10000000.0,0.0,0.0,0.0
2015-01-06,10000000.0,0.0,0.0,0.0
2015-01-07,10000000.0,0.0,0.0,0.0
2015-01-08,10000000.0,0.0,0.0,0.0
2015-01-09,10000000.0,0.0,0.0,0.0
2015-01-12,10000000.0,0.0,0.0,0.0
2015-01-13,10000000.0,0.0,0.0,0.0
2015-01-14,10000000.0,0.0,0.0,0.0
2015-01-15,10000000.0,0.0,0.0,0.0
2015-01-16,10000000.0,0.0,0.0,0.0
2015-01-19,9952961.1196,-44625.0,2413.8804,-47038.8804
2015-01-20,10029456.1196,76495.0,0.0,76495.0
2015-01-21,10014796.1196,-14660.0,0.0,-14660.0
2015-01-22,9975636.1196,-39160.0,0.0,-39160.0
2015-01-23,9990531.1196,14895.0,0.0,14895.0
2015-01-26,10164341.5367,174555.0,744.5828999999999,173810.4171
2015-01-27,10134426.5367,-29915.0,0.0,-29915.0
2015-01-28,9957703.8367,-173300.0,3422.7,-176722.7
2015-01-29,9859543.8367,-98160.0,0.0,-98160.0
2015-01-30,9961953.8367,102410.0,0.0,102410.0
2015-02-02,9858885.1867,-102380.0,688.65,-103068.65
2015-02-03,9648805.1867,-210080.0,0.0,-210080.0
2015-02-04,9515375.1867,-133430.0,0.0,-133430.0
2015-02-05,9566855.86455,51495.0,14.322149999999999,51480.67785
2015-02-06,9293215.86455,-273640.0,0.0,-273640.0
2015-02-09,9381081.99765,88690.0,823.8669,87866.1331
2015-02-10,9457716.99765,76635.0,0.0,76635.0
2015-02-11,9568871.99765,111155.0,0.0,111155.0
2015-02-12,9620401.99765,51530.0,0.0,51530.0
2015-02-13,9395771.99765,-224630.0,0.0,-224630.0
2015-02-16,9204677.5934,-191025.0,69.40425,-191094.40425
2015-02-17,9264527.5934,59850.0,0.0,59850.0
2015-02-25,9390228.9934,125705.0,3.5999999999999996,125701.4
2015-02-26,9258683.9934,-131545.0,0.0,-131545.0
2015-02-27,9274758.9934,16075.0,0.0,16075.0
2015-03-02,9225525.5934,-47845.0,1388.3999999999999,-49233.4
2015-03-03,9116195.5934,-109330.0,0.0,-109330.0
2015-03-04,9389680.5934,273485.0,0.0,273485.0
2015-03-05,9420445.5934,30765.0,0.0,30765.0
2015-03-06,9356660.5934,-63785.0,0.0,-63785.0
2015-03-09,9512221.0318,156215.0,654.5616,155560.4384
2015-03-10,9588699.1286,76690.0,211.9032,76478.0968
2015-03-11,9752679.1286,163980.0,0.0,163980.0
2015-03-12,9550109.1286,-202570.0,0.0,-202570.0
2015-03-13,9372939.1286,-177170.0,0.0,-177170.0
2015-03-16,9364163.700199999,-6930.0,1845.4284,-8775.4284
2015-03-17,9297863.700199999,-66300.0,0.0,-66300.0
2015-03-18,9355523.700199999,57660.0,0.0,57660.0
2015-03-19,9166583.700199999,-188940.0,0.0,-188940.0
2015-03-20,9033963.700199999,-132620.0,0.0,-132620.0
2015-03-23,8960006.650199998,-72300.0,1657.05,-73957.05
2015-03-24,8733252.150199998,-225355.0,1399.5,-226754.5
2015-03-25,8771557.150199998,38305.0,0.0,38305.0
2015-03-26,8786537.150199998,14980.0,0.0,14980.0
2015-03-27,8937132.150199998,150595.0,0.0,150595.0
2015-03-30,8932571.408849997,-4040.0,520.74135,-4560.74135
2015-03-31,8953601.408849997,21030.0,0.0,21030.0
2015-04-01,9052916.408849997,99315.0,0.0,99315.0
2015-04-02,9129766.408849997,76850.0,0.0,76850.0
2015-04-03,9142151.408849997,12385.0,0.0,12385.0
2015-04-07,9117696.358849997,-22810.0,1645.05,-24455.05
2015-04-08,9203121.358849997,85425.0,0.0,85425.0
2015-04-09,9166991.358849997,-36130.0,0.0,-36130.0
2015-04-10,9311061.358849997,144070.0,0.0,144070.0
2015-04-13,9304339.008849997,-5050.0,1672.35,-6722.35
2015-04-14,9267179.008849997,-37160.0,0.0,-37160.0
2015-04-15,9164429.008849997,-102750.0,0.0,-102750.0
2015-04-16,9028539.008849997,-135890.0,0.0,-135890.0
2015-04-17,9002109.008849997,-26430.0,0.0,-26430.0
2015-04-20,9100510.858849997,98480.0,78.15,98401.85
2015-04-21,8997020.858849997,-103490.0,0.0,-103490.0
2015-04-22,8818690.858849997,-178330.0,0.0,-178330.0
2015-04-23,8702860.858849997,-115830.0,0.0,-115830.0
2015-04-24,8535859.216549996,-165270.0,1731.6423,-167001.6423
2015-04-27,8213237.627799996,-322570.0,51.58875,-322621.58875
2015-04-28,7941902.188099996,-271250.0,85.4397,-271335.4397
2015-04-29,8047567.399449997,105740.0,74.78865,105665.21135
2015-04-30,8044097.399449997,-3470.0,0.0,-3470.0
2015-05-04,7750220.149449997,-292765.0,1112.25,-293877.25
2015-05-05,7589917.274949997,-160275.0,27.874499999999998,-160302.8745
2015-05-06,7415049.487049997,-174805.0,62.7879,-174867.7879
2015-05-07,7542995.896449997,128020.0,73.59060000000001,127946.4094
2015-05-08,7585165.896449997,42170.0,0.0,42170.0
2015-05-11,7514140.196449997,-69790.0,1235.7,-71025.7
2015-05-12,7590080.196449997,75940.0,0.0,75940.0
2015-05-13,7647260.196449997,57180.0,0.0,57180.0
2015-05-14,7789470.196449997,142210.0,0.0,142210.0
2015-05-15,7769210.196449997,-20260.0,0.0,-20260.0
2015-05-18,7804325.7964499965,37065.0,1949.4,35115.6
2015-05-19,7942370.7964499965,138045.0,0.0,138045.0
2015-05-20,8134345.7964499965,191975.0,0.0,191975.0
2015-05-21,8054965.7964499965,-79380.0,0.0,-79380.0
2015-05-22,8015655.7964499965,-39310.0,0.0,-39310.0
2015-05-25,8063295.596449996,47695.0,55.199999999999996,47639.8
2015-05-26,7880930.596449996,-182365.0,0.0,-182365.0
2015-05-27,7926320.596449996,45390.0,0.0,45390.0
2015-05-28,7900905.096449996,-23980.0,1435.5,-25415.5
2015-05-29,7832330.096449996,-68575.0,0.0,-68575.0
2015-06-01,7748265.528199997,-81660.0,2404.5682500000003,-84064.56825
2015-06-02,7762035.528199997,13770.0,0.0,13770.0
2015-06-03,7736895.528199997,-25140.0,0.0,-25140.0
2015-06-04,7717425.528199997,-19470.0,0.0,-19470.0
2015-06-05,7689485.528199997,-27940.0,0.0,-27940.0
2015-06-08,7753024.218299997,63755.0,216.3099,63538.6901
2015-06-09,7743909.218299997,-9115.0,0.0,-9115.0
2015-06-10,7728189.218299997,-15720.0,0.0,-15720.0
2015-06-11,7788664.218299997,60475.0,0.0,60475.0
2015-06-12,8019989.218299997,231325.0,0.0,231325.0
2015-06-15,8115745.290099997,96270.0,513.9282000000001,95756.0718
2015-06-16,8229885.290099997,114140.0,0.0,114140.0
2015-06-17,8259635.290099997,29750.0,0.0,29750.0
2015-06-18,8293145.290099997,33510.0,0.0,33510.0
2015-06-19,8216455.290099997,-76690.0,0.0,-76690.0
2015-06-23,8136488.639149997,-79850.0,116.65095,-79966.65095
2015-06-24,8083308.639149997,-53180.0,0.0,-53180.0
2015-06-25,8163828.039149998,81270.0,750.6,80519.4
2015-06-26,8105488.039149998,-56540.0,1800.0,-58340.0
2015-06-29,8154917.307649998,49450.0,20.7315,49429.2685
2015-06-30,8490587.307649998,335670.0,0.0,335670.0
2015-07-01,8505437.307649998,14850.0,0.0,14850.0
2015-07-02,8326187.307649998,-179250.0,0.0,-179250.0
2015-07-03,8284087.307649998,-42100.0,0.0,-42100.0
2015-07-06,8617126.421149999,333220.0,180.88649999999998,333039.1135
2015-07-07,8803976.421149999,186850.0,0.0,186850.0
2015-07-08,9225416.421149999,421440.0,0.0,421440.0
2015-07-09,9082346.421149999,-143070.0,0.0,-143070.0
2015-07-10,8760106.421149999,-322240.0,0.0,-322240.0
2015-07-13,8806925.629299998,47810.0,990.79185,46819.20815
2015-07-14,8699775.629299998,-107150.0,0.0,-107150.0
2015-07-15,8776190.629299998,76415.0,0.0,76415.0
