created_date,date,contract,instrument,quantity,order_quantity,price,open,base,roll,impact,commission,commission_from_framework,reason
2015-01-16,2015-01-19,AL1503.SHF,AL,-155,-155,12835.0,12840.0,1.0,0.0,0.0,697.5,True,normal_rebalance
2015-01-16,2015-01-19,C1505.DCE,C,520,520,2412.0,2409.0,2.0,0.0,1.0,936.0,True,normal_rebalance
2015-01-16,2015-01-19,MA1506.ZCE,MA,-182,-182,1984.0,1986.0,2.0,0.0,0.0,382.2,True,normal_rebalance
2015-01-16,2015-01-19,P1505.DCE,P,-83,-83,4932.0,4936.0,2.0,0.0,0.0,311.25,True,normal_rebalance
2015-01-16,2015-01-19,RB1505.SHF,RB,-232,-232,2498.0,2499.0,1.0,0.0,0.0,86.93040000000002,True,normal_rebalance
2015-01-23,2015-01-26,AL1503.SHF,AL,-4,-4,12785.0,12790.0,1.0,0.0,0.0,18.0,True,normal_rebalance
2015-01-23,2015-01-26,C1505.DCE,C,5,5,2417.0,2415.0,2.0,0.0,0.0,9.0,True,normal_rebalance
2015-01-23,2015-01-26,CF1505.ZCE,CF,-62,-62,12995.0,13005.0,2.0,0.0,0.0,399.9,True,normal_rebalance
2015-01-23,2015-01-26,MA1506.ZCE,MA,-2,-2,2044.0,2046.0,2.0,0.0,0.0,4.199999999999999,True,normal_rebalance
2015-01-23,2015-01-26,P1505.DCE,P,83,83,4856.0,4852.0,2.0,0.0,0.0,311.25,True,signal_exit
2015-01-23,2015-01-26,RB1505.SHF,RB,-6,-6,2481.0,2482.0,1.0,0.0,0.0,2.2329000000000003,True,normal_rebalance
2015-01-27,2015-01-28,AL1503.SHF,AL,159,159,12810.0,12800.0,1.0,1.0,0.0,715.5,True,roll
2015-01-27,2015-01-28,AL1504.SHF,AL,-180,-180,12845.0,12855.0,1.0,1.0,0.0,810.0,True,roll
2015-01-27,2015-01-28,C1505.DCE,C,-525,-525,2417.0,2421.0,2.0,1.0,1.0,945.0,True,roll
2015-01-27,2015-01-28,C1509.DCE,C,529,529,2479.0,2475.0,2.0,1.0,1.0,952.1999999999999,True,roll
2015-01-30,2015-02-02,CF1505.ZCE,CF,62,62,13085.0,13075.0,2.0,0.0,0.0,399.9,True,signal_exit
2015-01-30,2015-02-02,P1505.DCE,P,-77,-77,4676.0,4680.0,2.0,0.0,0.0,288.75,True,normal_rebalance
2015-02-04,2015-02-05,AL1504.SHF,AL,1,1,13205.0,13200.0,1.0,0.0,0.0,4.5,True,margin_forced
2015-02-04,2015-02-05,C1509.DCE,C,-2,-2,2491.0,2493.0,2.0,0.0,0.0,3.5999999999999996,True,margin_forced
2015-02-04,2015-02-05,MA1506.ZCE,MA,1,1,2135.0,2133.0,2.0,0.0,0.0,2.0999999999999996,True,margin_forced
2015-02-04,2015-02-05,P1505.DCE,P,1,1,4782.0,4778.0,2.0,0.0,0.0,3.75,True,margin_forced
2015-02-04,2015-02-05,RB1505.SHF,RB,1,1,2481.0,2480.0,1.0,0.0,0.0,0.37215000000000004,True,margin_forced
2015-02-06,2015-02-09,AL1504.SHF,AL,22,22,13355.0,13350.0,1.0,0.0,0.0,99.0,True,normal_rebalance
2015-02-06,2015-02-09,C1509.DCE,C,-49,-49,2502.0,2504.0,2.0,0.0,0.0,88.19999999999999,True,normal_rebalance
2015-02-06,2015-02-09,CF1505.ZCE,CF,-54,-54,13190.0,13200.0,2.0,0.0,0.0,348.29999999999995,True,normal_rebalance
2015-02-06,2015-02-09,P1505.DCE,P,76,76,4934.0,4930.0,2.0,0.0,0.0,285.0,True,signal_exit
2015-02-06,2015-02-09,RB1505.SHF,RB,-9,-9,2494.0,2495.0,1.0,0.0,0.0,3.3669000000000002,True,normal_rebalance
2015-02-13,2015-02-16,AL1504.SHF,AL,7,7,13090.0,13085.0,1.0,0.0,0.0,31.5,True,normal_rebalance
2015-02-13,2015-02-16,CF1505.ZCE,CF,-5,-5,13270.0,13280.0,2.0,0.0,0.0,32.25,True,normal_rebalance
2015-02-13,2015-02-16,RB1505.SHF,RB,-15,-15,2513.0,2514.0,1.0,0.0,0.0,5.65425,True,normal_rebalance
2015-02-17,2015-02-25,C1509.DCE,C,-2,-2,2508.0,2510.0,2.0,0.0,0.0,3.5999999999999996,True,normal_rebalance
2015-02-27,2015-03-02,AL1504.SHF,AL,150,150,12940.0,12930.0,1.0,1.0,0.0,675.0,True,roll
2015-02-27,2015-03-02,AL1505.SHF,AL,-148,-148,12950.0,12960.0,1.0,1.0,0.0,666.0,True,roll
2015-02-27,2015-03-02,C1509.DCE,C,-12,-12,2534.0,2536.0,2.0,0.0,0.0,21.599999999999998,True,normal_rebalance
2015-02-27,2015-03-02,CF1505.ZCE,CF,-4,-4,13390.0,13400.0,2.0,0.0,0.0,25.799999999999997,True,normal_rebalance
