date,equity_fw,equity_my,diff
2015-01-05,10000000.0,10000000.0,0.0
2015-01-06,10000000.0,10000000.0,0.0
2015-01-07,10000000.0,10000000.0,0.0
2015-01-08,10000000.0,10000000.0,0.0
2015-01-09,10000000.0,10000000.0,0.0
2015-01-12,10000000.0,10000000.0,0.0
2015-01-13,10000000.0,10000000.0,0.0
2015-01-14,10000000.0,10000000.0,0.0
2015-01-15,10000000.0,10000000.0,0.0
2015-01-16,10000000.0,10000000.0,0.0
2015-01-19,9952961.1196,9952961.1196,0.0
2015-01-20,10029456.1196,10029456.1196,0.0
2015-01-21,10014796.1196,10014796.1196,0.0
2015-01-22,9975636.1196,9975636.1196,0.0
2015-01-23,9990531.1196,9990531.1196,0.0
2015-01-26,10164341.5367,10164341.5367,0.0
2015-01-27,10134426.5367,10134426.5367,0.0
2015-01-28,9957703.8367,9957703.8367,0.0
2015-01-29,9859543.8367,9859543.8367,0.0
2015-01-30,9961953.8367,9961953.8367,0.0
2015-02-02,9858885.1867,9858885.1867,0.0
2015-02-03,9648805.1867,9648805.1867,0.0
2015-02-04,9515375.1867,9515375.1867,0.0
2015-02-05,9566855.86455,9566855.86455,0.0
2015-02-06,9293215.86455,9293215.86455,0.0
2015-02-09,9381081.99765,9381081.99765,0.0
2015-02-10,9457716.99765,9457716.99765,0.0
2015-02-11,9568871.99765,9568871.99765,0.0
2015-02-12,9620401.99765,9620401.99765,0.0
2015-02-13,9395771.99765,9395771.99765,0.0
2015-02-16,9204677.5934,9204677.5934,0.0
2015-02-17,9264527.5934,9264527.5934,0.0
2015-02-25,9390228.9934,9390228.9934,0.0
2015-02-26,9258683.9934,9258683.9934,0.0
2015-02-27,9274758.9934,9274758.9934,0.0
2015-03-02,9225525.5934,9225525.5934,0.0
2015-03-03,9116195.5934,9116195.5934,0.0
2015-03-04,9389680.5934,9389680.5934,0.0
2015-03-05,9420445.5934,9420445.5934,0.0
2015-03-06,9356660.5934,9356660.5934,0.0
2015-03-09,9512221.0318,9512221.0318,0.0
2015-03-10,9588699.1286,9588699.1286,0.0
