date,instrument,contract,reason,qty,open,high,low,settle,hypothetical_fill,first_day_pnl,five_day_pnl
2015-01-28,C,C1509.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,527,2475.0,2475.0,2464.0,2468.0,2477.0,-47430.0,-163370.0
2015-02-09,AL,AL1504.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,23,13350.0,13350.0,13220.0,13270.0,13355.0,-9775.0,-56350.0
2015-03-02,AL,AL1505.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-149,12960.0,13100.0,12955.0,13030.0,12955.0,-55875.0,-108025.0
2015-03-30,MA,MA1506.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,153,2401.0,2402.0,2353.0,2375.0,2403.0,-42840.0,-94860.0
2015-05-11,FG,FG1509.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,201,955.0,956.0,936.0,943.0,957.0,-56280.0,-96480.0
2015-05-18,P,P1509.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,55,5110.0,5110.0,5062.0,5082.0,5114.0,-17600.0,-25300.0
2015-05-25,C,C1509.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,17,2500.0,2501.0,2475.0,2487.0,2502.0,-2550.0,1360.0
2015-05-28,AL,AL1508.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-163,13150.0,13195.0,13145.0,13170.0,13145.0,-20375.0,-105950.0
2015-06-23,AL,AL1508.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-8,12695.0,12770.0,12695.0,12735.0,12690.0,-1800.0,-1400.0
2015-07-06,C,C1601.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,31,2141.0,2142.0,2122.0,2129.0,2143.0,-4340.0,-5270.0
2015-07-13,C,C1601.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,8,2102.0,2103.0,2072.0,2084.0,2104.0,-1600.0,2000.0
2015-07-22,AL,AL1509.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,133,12415.0,12420.0,12325.0,12360.0,12420.0,-39900.0,0.0
2015-07-23,AL,AL1509.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,133,12345.0,12345.0,12245.0,12300.0,12350.0,-33250.0,103075.0
2015-07-24,AL,AL1509.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,133,12285.0,12290.0,12240.0,12265.0,12290.0,-16625.0,146300.0
2015-08-24,SR,SR1601.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,4,5307.0,5307.0,5095.0,5193.0,5309.0,-4640.0,2400.0
2015-09-07,SR,SR1601.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-1,5221.0,5305.0,5221.0,5271.0,5219.0,-520.0,600.0
2015-10-12,FG,FG1601.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,239,841.0,841.0,823.0,831.0,843.0,-57360.0,-90820.0
2015-10-26,SR,SR1601.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,6,5586.0,5587.0,5529.0,5553.0,5588.0,-2100.0,-1740.0
2015-11-16,P,P1601.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-102,4130.0,4166.0,4130.0,4148.0,4126.0,-22440.0,-138720.0
2015-11-30,P,P1601.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,124,4330.0,4330.0,4266.0,4294.0,4334.0,-49600.0,-290160.0
2015-12-21,JD,JD1605.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-29,3221.0,3296.0,3221.0,3262.0,3219.0,-6235.0,8555.0
2016-02-24,SR,SR1605.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-1,5400.0,5452.0,5399.0,5432.0,5398.0,-340.0,650.0
2016-02-29,FG,FG1605.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,8,922.0,922.0,907.0,914.0,924.0,-1600.0,-3200.0
2016-03-04,SR,SR1609.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-1,5460.0,5518.0,5460.0,5491.0,5458.0,-330.0,-830.0
2016-04-18,C,C1701.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-2,1463.0,1499.0,1462.0,1487.0,1461.0,-520.0,540.0
2016-04-25,FG,FG1609.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-8,1021.0,1057.0,1021.0,1037.0,1019.0,-2880.0,2400.0
2016-08-08,C,C1701.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,242,1473.0,1474.0,1451.0,1460.0,1475.0,-36300.0,-55660.0
2016-08-15,JD,JD1701.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-38,3441.0,3495.0,3441.0,3473.0,3439.0,-6460.0,-8550.0
2016-09-19,FG,FG1701.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-60,1096.0,1119.0,1095.0,1113.0,1094.0,-22800.0,-92400.0
2016-09-19,P,P1701.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-52,5410.0,5496.0,5410.0,5458.0,5406.0,-27040.0,-70720.0
2016-12-01,FG,FG1701.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-65,1234.0,1265.0,1234.0,1248.0,1232.0,-20800.0,-61100.0
2016-12-02,T,T1703.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-4,98.135,98.45,98.135,98.225,98.13000000000001,-3799.999999999386,-58399.99999999975
2017-01-23,P,P1705.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,9,6280.0,6280.0,6216.0,6246.0,6284.0,-3420.0,1980.0
2017-02-03,RU,RU1705.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,8,21475.0,21480.0,19925.0,20430.0,21485.0,-84400.0,-82800.0
2017-02-09,AL,AL1703.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-87,13660.0,13850.0,13660.0,13785.0,13655.0,-56550.0,-69600.0
2017-03-20,JD,JD1705.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-221,3182.0,3272.0,3181.0,3234.0,3180.0,-59670.0,-43095.0
2017-04-24,CF,CF1709.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,4,16095.0,16100.0,15915.0,16000.0,16105.0,-2100.0,-7900.0
2017-05-08,FG,FG1709.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-13,1231.0,1252.0,1231.0,1241.0,1229.0,-3120.0,-18460.0
2017-05-15,SR,SR1709.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-79,6648.0,6707.0,6648.0,6678.0,6646.0,-25280.0,-9480.0
2017-06-05,JD,JD1709.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,39,3620.0,3620.0,3551.0,3574.0,3622.0,-9360.0,-17550.0
2017-06-19,T,T1709.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-1,95.46,95.985,95.46,95.915,95.455,-4600.00000000008,849.9999999999375
2017-09-28,AL,AL1712.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,56,16640.0,16640.0,16350.0,16480.0,16645.0,-46200.0,113400.0
2017-10-30,C,C1801.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,65,1662.0,1662.0,1647.0,1656.0,1664.0,-5200.0,-650.0
2017-12-04,M,M1805.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-195,2801.0,2874.0,2801.0,2845.0,2799.0,-89700.0,-74100.0
2018-01-02,FG,FG1805.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,18,1487.0,1487.0,1455.0,1465.0,1489.0,-8640.0,2880.0
2018-05-22,AL,AL1807.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,1,14805.0,14805.0,14595.0,14710.0,14810.0,-500.0,-525.0
2018-06-19,M,M1809.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,3,3095.0,3095.0,3013.0,3057.0,3097.0,-1200.0,-5670.0
2018-07-24,C,C1901.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-3,1835.0,1843.0,1835.0,1838.0,1833.0,-150.0,-900.0
2018-07-30,SR,SR1809.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-10,4901.0,4993.0,4900.0,4952.0,4899.0,-5300.0,5000.0
2018-10-22,M,M1901.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,14,3439.0,3439.0,3370.0,3395.0,3441.0,-6440.0,-420.0
2018-11-15,C,C1905.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,601,1990.0,1992.0,1963.0,1977.0,1992.0,-90150.0,24040.0
2018-12-10,C,C1905.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-473,1860.0,1872.0,1860.0,1866.0,1858.0,-37840.0,-274340.0
2019-03-25,RU,RU1905.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,50,11845.0,11845.0,11485.0,11655.0,11855.0,-100000.0,10000.0
2019-05-21,T,T1909.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,45,96.83,96.83,96.6,96.63,96.835,-92249.99999999923,-4499.999999995907
2019-06-10,CF,CF1909.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-42,12720.0,13090.0,12720.0,12980.0,12710.0,-56700.0,-168000.0
2019-07-15,JD,JD1909.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-10,4604.0,4694.0,4604.0,4663.0,4602.0,-3050.0,500.0
2019-07-29,FG,FG1909.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,20,1499.0,1499.0,1473.0,1485.0,1501.0,-6400.0,-7600.0
2019-07-29,MA,MA1909.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-14,2046.0,2070.0,2045.0,2057.0,2044.0,-1820.0,-18620.0
2019-08-06,JD,JD1909.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-215,4316.0,4420.0,4316.0,4370.0,4314.0,-60200.0,-150500.0
2019-08-19,MA,MA2001.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-213,2188.0,2217.0,2186.0,2204.0,2186.0,-38340.0,-161880.0
2019-09-02,MA,MA2001.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-2,2142.0,2212.0,2141.0,2172.0,2140.0,-640.0,-440.0
2019-09-12,FG,FG2001.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-1,1425.0,1481.0,1425.0,1453.0,1423.0,-600.0,180.0
2019-09-23,JD,JD2001.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,3,4531.0,4532.0,4455.0,4485.0,4533.0,-720.0,165.0
2019-10-08,RB,RB2001.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,5,3458.0,3458.0,3402.0,3427.0,3459.0,-1600.0,2850.0
2019-12-04,SR,SR2005.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,126,5428.0,5430.0,5403.0,5415.0,5430.0,-18900.0,-1260.0
2019-12-18,SR,SR2005.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-2,5409.0,5434.0,5408.0,5420.0,5407.0,-260.0,-1520.0
